words,count
nthe,10
met,6
employees,6
fantastic,6
highly,6
meats,26
music,8
recommend,13
veggies,8
amazing,39
salsa,14
meat,21
meal,9
bowls,11
little,11
free,10
ate,7
service,39
don,17
pineapple,10
bomb,9
menu,9
chipotle,42
rice,29
grilled,11
steak,32
decided,7
josh,10
groupon,6
beef,6
greeted,9
thanks,6
people,7
corn,6
super,15
time,37
manager,7
yummy,11
brown,10
tacos,36
vegas,16
hawaii,7
quick,6
guy,10
seaweed,14
pork,25
eating,8
wait,6
box,9
healthy,8
love,25
flavors,12
chocolate,7
sour,12
awesome,13
sample,13
heard,6
spot,6
mango,11
thank,6
lunch,10
didn,9
looking,8
huli,15
cheese,8
friend,6
coconut,38
tasted,6
price,6
black,6
unlv,17
offered,7
bowl,43
check,8
burrito,24
flavor,20
cilantro,10
samples,12
island,12
favorite,16
lot,7
taste,11
tasty,14
students,8
braddah,37
original,6
jalape,6
fan,7
experience,10
pick,7
options,7
guacamole,8
family,7
glad,8
tried,6
coming,13
soon,7
style,9
sauce,8
food,101
lettuce,7
stopped,6
found,8
delicious,22
fish,15
hard,6
guac,14
feel,9
clean,9
pretty,8
restaurants,7
bark,43
probably,6
restaurant,11
liked,8
sweet,10
cream,12
rio,7
location,25
customers,7
helpful,9
absolutely,6
sauces,14
beans,8
fast,6
hawaiian,21
cafe,7
definitely,27
nice,21
walked,12
fresh,19
kalua,18
friendly,24
dessert,9
try,30
lime,8
customer,18
salad,7
taco,11
cabbage,9
choose,10
day,12
quality,9
loved,8
chicken,40
staff,13
seasoned,6
salsas,10
ingredients,8
braddahs,11
home,9
toppings,12
eat,19
pig,20
friends,6
yelp,11
