words,count
nwe,28
linguini,6
worth,32
school,45
enjoy,16
fabulous,12
nthe,50
told,20
fantastic,46
nwhen,7
highly,19
guests,8
played,8
music,124
recommend,44
tell,15
warm,7
excellent,40
bartender,9
vodka,7
amazing,102
disappoint,6
las,46
wine,62
nyc,6
hidden,7
band,35
bread,40
meat,12
reasonable,7
meal,31
tip,16
saturday,11
cheesy,9
free,48
ate,8
days,10
isn,6
loud,10
wasn,7
service,163
top,23
butter,10
seated,17
rat,9
recommended,10
regular,7
mouth,7
singer,23
don,22
definitely,59
reserve,7
enjoyed,20
busy,13
menu,28
rich,6
appetizer,17
wedding,16
bar,31
twice,7
bad,11
steak,19
decided,10
brad,25
tony,26
lovely,6
life,10
bottles,16
nif,8
greeted,9
garlic,21
kept,8
left,7
thanks,7
yes,7
easy,6
east,8
brought,8
night,92
crowd,7
people,37
phenomenal,6
super,14
dinner,79
plus,12
dean,7
happy,17
offer,13
portions,14
inside,13
classic,13
trip,24
weekend,10
nthis,12
time,118
songs,10
manager,19
environment,7
choice,6
vegas,230
minute,6
cool,7
die,16
gun,7
specials,7
quick,8
movie,6
guy,11
pork,6
regret,7
eating,14
gnocchi,14
drinks,23
shared,12
usually,7
entrees,9
love,51
extra,6
visit,33
live,119
chocolate,9
reviews,25
soup,10
awesome,47
exceptional,7
lounge,19
sunday,9
spot,18
birthday,16
date,28
remember,10
nour,7
cute,6
course,6
thank,16
appetizers,7
hot,12
half,20
name,10
didn,30
looking,21
linguine,14
care,15
advance,8
couldn,9
waiter,50
cheese,13
yourself,6
george,7
little,55
bite,6
stuffed,10
friend,14
boyfriend,14
tasted,17
sat,6
dining,17
price,21
especially,13
marinara,20
seafood,7
drive,8
professional,7
calamari,29
outside,10
osso,11
truly,7
husband,26
review,7
amore,60
ravioli,16
offered,7
attentive,20
casa,48
bowl,7
check,7
week,6
driver,29
totally,11
veal,24
bottle,10
rest,7
touch,8
flavor,9
read,6
mom,7
server,55
served,20
lobster,13
nmy,10
favorite,40
clams,12
strip,89
meals,13
mondays,6
lot,13
spicy,11
trying,7
romantic,15
gone,6
taste,11
tasty,16
girlfriend,13
wife,18
forget,12
parmesan,10
dish,29
song,9
fan,7
decide,6
list,8
bucco,12
sang,8
prosciutto,9
anniversary,15
scallops,8
ahead,6
experience,52
lasagna,15
pick,18
real,9
limos,6
family,34
door,10
glad,9
town,25
waiters,10
huge,21
chops,8
tried,12
coming,19
authentic,13
short,10
playing,23
reminded,6
soon,12
style,19
alla,7
call,14
actually,6
late,8
stephen,6
sauce,58
evening,18
return,10
food,271
cannoli,39
found,19
delicious,80
house,18
idea,6
expect,9
leave,11
cioppino,8
tiramisu,6
dine,8
feel,37
stage,6
wonderful,40
parm,12
hotel,25
believe,6
outstanding,8
nights,6
caesar,10
eaten,12
extremely,13
notch,8
pretty,15
recommendations,11
restaurants,10
set,6
tender,11
close,9
locals,24
visiting,10
wow,8
creme,9
probably,12
restaurant,150
eggplant,19
loaf,12
sweet,12
gypsy,8
throughout,8
expensive,7
damn,9
wait,29
empty,6
mind,8
pricey,7
prices,14
bruschetta,13
look,7
gem,17
fun,29
pack,10
ready,8
decor,15
italy,6
shirt,22
bonus,6
arrived,20
tables,11
disappointed,15
location,7
surprised,6
couple,11
bit,18
absolutely,31
complimentary,18
servers,10
impressed,6
homemade,9
fried,14
called,12
single,7
nice,69
reservation,25
desert,8
walked,8
cooked,10
fresh,27
enjoyable,7
ambience,11
friendly,56
dessert,32
entire,7
michael,14
eve,6
try,36
picked,12
spaghetti,21
waiting,8
cozy,8
cab,10
makes,14
limo,90
singing,17
started,12
salad,13
ride,25
shrimp,22
vibe,12
instead,6
entree,10
stop,9
coast,6
honestly,6
classy,8
martini,7
including,8
perfect,44
dad,8
hands,10
front,7
risotto,8
ambiance,29
special,29
entertainment,33
red,15
frank,25
promptly,8
times,17
conversation,6
quality,6
perfectly,13
stars,12
exactly,7
loved,40
tonight,6
dishes,17
able,9
sinatra,37
looked,6
pictures,7
occasion,6
atmosphere,72
selection,6
chicken,45
staff,54
based,6
won,12
local,13
overall,8
joint,6
packed,11
meatballs,27
closed,6
walk,12
table,35
treat,6
finished,10
helped,7
shuttle,9
party,24
drink,16
impeccable,6
incredible,16
paul,7
day,15
book,6
five,7
immediately,9
helpful,11
martin,6
soft,6
italian,138
fettuccine,7
recommendation,7
home,17
pasta,48
world,6
getting,8
marsala,8
reminds,6
eat,28
wish,12
minutes,14
alfredo,7
reservations,23
goodness,6
penne,8
dressed,6
star,7
monday,13
priced,10
friends,30
yelp,19
portion,8
baked,18
