words,count
dish,11
sorry,6
try,15
nthe,13
jambalaya,8
told,7
items,6
extra,6
brought,9
visit,6
crab,24
soup,6
flavor,8
shrimp,24
hot,8
pudding,10
okay,6
green,6
waitress,6
oysters,11
course,6
main,7
sauce,9
food,27
lunch,9
bread,33
didn,6
meal,6
fish,11
lola,16
grits,31
charleston,9
wasn,8
size,6
little,10
service,17
seated,6
sausage,9
summerlin,9
don,6
average,6
definitely,7
chicken,8
enjoyed,7
orleans,7
menu,15
pretty,6
rice,9
bad,8
husband,9
gouda,9
crawfish,6
outside,6
probably,6
restaurant,8
mushroom,6
catfish,15
garlic,6
disappointed,12
location,14
bit,10
wings,6
server,11
beans,13
fries,12
cake,11
fried,10
gumbo,15
taste,7
pie,9
tasty,6
cream,6
nice,16
time,13
