words,count
nwe,6
bacon,8
nthe,19
excellent,6
hot,10
potatoes,6
meal,14
little,10
wasn,12
service,21
don,6
definitely,12
toast,6
menu,14
steak,6
beef,7
garlic,7
night,11
diner,7
dinner,14
floor,6
time,11
vegas,10
dip,7
french,7
water,6
downtown,11
soup,7
lunch,6
didn,7
cheese,7
bite,6
friend,6
breakfast,13
price,10
refills,7
server,11
served,12
tasty,9
burger,16
experience,6
grill,31
sauce,8
food,31
hotel,9
eggs,6
pretty,13
restaurant,13
liked,6
prices,6
decor,7
fremont,8
fries,10
fried,10
nice,10
cooked,7
fresh,8
friendly,7
try,7
casino,18
salad,11
day,6
quality,9
chicken,15
onion,6
eat,6
