words,count
nwe,12
worth,6
nthe,20
ayce,6
cooking,6
meats,12
excellent,8
las,8
combination,9
bibimbap,6
meat,48
mean,6
ate,6
delicious,15
service,44
galbi,10
don,18
soups,7
definitely,12
menu,14
rice,21
bap,7
bad,8
decided,6
noodles,6
beef,22
belly,6
night,11
people,16
banchan,8
dinner,9
happy,16
portions,6
soju,16
marinated,16
time,33
vegas,45
cook,12
pork,13
usually,9
love,23
soup,24
ribs,16
awesome,9
spot,9
cold,8
hot,9
djk,21
lunch,8
didn,9
little,19
friend,8
price,17
especially,7
seafood,6
comes,12
pot,6
attentive,10
check,7
bottle,9
flavor,7
served,6
favorite,9
meal,7
spicy,10
taste,6
tasty,13
dish,10
bulgogi,10
hours,18
experience,8
family,9
town,8
grill,10
hour,16
tried,11
coming,6
short,10
egg,11
actually,6
late,10
food,76
expect,6
eaten,6
sometimes,6
clean,6
pretty,16
restaurants,15
probably,14
restaurant,15
liked,8
expensive,9
pricey,7
prices,8
bill,7
bim,10
bit,15
stew,6
tofu,28
nice,15
cooked,6
friendly,10
try,15
salad,9
day,6
strip,11
craving,6
times,10
waitress,7
quality,13
lot,9
dishes,36
korean,111
plus,6
staff,12
combo,19
overall,7
kimchi,14
etc,6
table,21
decent,6
bbq,65
getting,8
eat,19
friends,9
portion,6
kalbi,14
