words,count
manager,12
finally,9
quick,6
burger,10
drinks,11
waiting,10
busy,8
wait,7
experience,6
brought,7
tell,6
dinner,6
chilis,8
waitress,17
cold,6
food,46
lunch,6
didn,14
care,6
waiter,8
terrible,7
times,7
wasn,10
service,36
told,10
seated,7
sat,13
forever,7
don,16
looked,6
bring,7
staff,6
waited,10
menu,6
plate,7
bar,21
bad,7
steak,15
horrible,8
restaurant,9
table,8
kitchen,6
chili,18
hostess,6
drink,12
left,10
tables,10
location,25
server,18
night,6
people,9
eating,9
eat,10
dirty,11
minutes,25
walked,6
time,19
