words,count
nwe,10
street,10
nthe,21
hot,13
alexis,12
reasonable,8
little,15
free,8
days,6
wasn,8
service,8
top,9
dogs,10
gym,8
shower,15
mini,7
don,14
bar,8
bad,8
kitchen,9
bathroom,17
air,6
property,8
nit,6
night,15
deal,8
people,12
microwave,11
plus,9
beds,11
time,11
vegas,15
cool,6
water,14
reviews,7
near,7
staying,9
spacious,7
didn,19
rock,17
living,18
looking,6
breakfast,6
price,15
cheap,9
outside,8
parking,11
tub,9
middle,7
pay,6
check,15
fridge,8
broken,7
pool,15
booked,9
hours,6
door,13
huge,12
stayed,16
okay,7
bugs,7
actually,6
resort,28
hard,18
hotel,52
park,12
king,6
nights,9
clean,30
pretty,12
look,8
day,18
location,9
bit,10
kitchenette,11
doesn,6
definitely,10
nice,36
suite,6
friendly,8
sink,10
casino,12
front,13
pools,11
strip,30
lot,13
bed,22
bedroom,12
staff,16
walk,10
decent,10
lobby,17
desk,12
helpful,7
sized,9
building,7
minutes,7
star,9
stay,32
priced,8
