words,count
nwe,7
worth,9
chef,17
nthe,16
brought,7
recommend,6
las,9
wine,13
bread,11
meal,12
wasn,12
service,36
top,10
serve,7
don,20
menu,19
plate,13
bar,6
bay,8
bad,23
steak,8
tasted,9
tiny,7
beer,8
plates,13
tuna,7
left,7
yes,7
night,12
people,6
ice,6
super,7
ribs,6
dinner,20
happy,8
medium,7
tell,11
time,15
manager,15
tacos,7
vegas,24
drinks,17
french,6
wait,7
visit,6
mac,6
cold,10
didn,26
looking,6
seriously,9
couldn,7
waiter,16
cheese,9
little,7
dining,8
price,8
average,7
slow,11
horrible,9
ruined,6
disappointment,7
resturant,6
blah,7
check,9
charged,6
money,9
flavor,10
server,10
served,12
lobster,6
mandalay,10
taste,23
poor,6
dish,12
worst,6
burger,15
fleur,27
experience,15
hour,8
salty,6
short,7
late,6
sauce,10
food,58
hard,7
oil,6
terrible,7
mlife,8
bland,10
fine,6
pretty,9
restaurants,11
restaurant,33
simply,9
else,8
bill,11
arrived,6
person,6
disappointed,12
lys,10
nice,9
reservation,11
walked,6
dessert,13
try,6
casino,6
popcorn,7
salad,12
shrimp,6
day,8
special,11
completely,7
waitress,10
quality,12
keller,17
dishes,8
won,7
table,12
party,8
drink,14
desk,6
rare,6
hubert,19
eat,14
minutes,11
star,10
friends,6
