words,count
nwe,13
worth,25
enjoy,10
nthe,32
mozzarella,21
kids,9
fantastic,8
explained,7
recommend,10
excellent,17
times,20
amazing,23
pizza,441
las,17
wine,31
oven,38
personal,12
bread,6
quality,16
little,39
free,9
ate,8
days,6
isn,10
wasn,13
service,61
top,10
serve,7
seated,6
plenty,7
don,31
enjoyed,9
busy,20
menu,11
settebello,7
plate,6
bar,23
bad,12
kitchen,7
beer,11
eastern,8
garlic,26
kid,6
grimaldi,75
yes,6
slices,16
night,20
people,16
super,12
dinner,17
plus,6
slightly,7
happy,9
offer,7
inside,12
pizzas,27
time,55
chain,8
vegas,49
cool,9
dried,8
eating,14
water,16
wait,23
usually,15
love,53
extra,22
visit,9
creamy,6
live,6
reviews,7
awesome,14
nyc,16
remember,6
cold,10
hot,11
lunch,13
half,25
didn,15
fired,9
salads,19
looking,8
waiter,12
pepperoni,43
cheese,59
fast,6
size,8
bite,6
tell,7
white,28
tasted,9
locations,6
sat,7
dining,8
topping,17
cheesecake,16
price,15
especially,10
cheap,9
slow,6
outside,15
dough,16
review,7
chewy,9
comes,9
olives,12
attentive,8
pay,9
outdoor,6
flavor,16
real,11
server,17
nice,66
seating,12
slice,14
found,11
favorite,23
meal,8
strip,9
stars,16
taste,21
tasty,19
original,10
dressing,6
fan,10
list,10
sun,7
crust,104
experience,14
amount,9
pick,6
family,9
door,11
town,12
hour,6
huge,7
tried,9
coming,12
authentic,7
coal,22
patio,13
soon,7
style,22
actually,10
pesto,13
sauce,51
wouldn,7
return,6
food,49
cannoli,6
delicious,25
house,13
calzone,9
reason,7
feel,14
guess,7
wonderful,10
outstanding,6
caesar,10
added,9
brooklyn,17
sometimes,7
clean,6
pretty,27
close,14
probably,8
restaurant,33
simple,8
sweet,9
crispy,21
expensive,9
brick,17
else,6
pricey,19
hostess,10
fun,8
arrived,6
makes,11
tables,6
location,23
couple,10
bit,30
helpful,6
nso,8
impressed,6
tasting,6
doesn,11
ingredients,26
definitely,25
walked,7
cooked,8
fresh,66
friendly,31
dessert,9
grimaldis,8
try,35
sausage,33
waiting,6
basil,23
salad,50
thin,60
sit,9
tomato,12
soggy,7
perfect,19
ricotta,18
day,10
ambiance,11
special,7
red,13
york,16
waitress,15
perfectly,6
lot,17
loved,17
tonight,6
brought,6
atmosphere,22
selection,13
bring,6
chicken,6
staff,20
trying,8
overall,12
joint,11
closer,7
meatballs,9
table,16
decent,6
bucks,6
tomatoes,13
antipasto,7
usual,7
add,8
pies,10
italian,15
home,16
toppings,39
mushrooms,11
spots,6
eat,24
minutes,8
pie,43
mushroom,10
star,14
friends,12
