words,count
worth,6
nthe,9
piercing,146
explained,12
highly,17
recommend,34
pierced,61
piercer,21
amazing,14
weeks,11
belly,9
days,9
wasn,6
service,10
nipples,12
dermal,10
don,11
definitely,30
ears,6
decided,14
quickly,6
piercings,46
patient,7
left,12
easy,6
night,8
people,21
pain,26
super,23
happy,17
hurt,14
shop,87
answered,11
cool,7
quick,14
guy,13
talked,7
filled,6
love,14
reviews,11
septum,9
awesome,25
guys,9
name,10
didn,26
girl,7
looking,14
care,17
couldn,8
knowledgeable,8
little,16
friend,11
future,8
price,11
professional,28
shops,6
week,9
totally,6
nose,21
lot,12
time,29
past,6
experience,19
glad,7
helped,9
advice,6
coming,7
help,7
soon,6
industrial,7
wouldn,9
found,12
feel,16
believe,6
lip,8
extremely,13
clean,34
nervous,11
pretty,13
double,6
else,6
prices,6
pierce,6
look,14
painless,7
questions,21
bit,6
helpful,14
nipple,7
absolutely,6
jewelry,47
kelsey,12
aftercare,7
called,10
nick,35
nice,18
ago,12
piercers,6
walked,9
friendly,18
button,8
ryan,17
body,9
healing,9
customer,6
process,13
day,12
doing,8
quality,7
painful,7
stars,6
loved,7
comfortable,12
gentle,6
looked,9
selection,11
staff,7
job,15
minutes,10
mike,21
tattoo,12
tragus,8
peter,6
kelsy,6
getting,22
shane,14
ear,18
friends,10
