words,count
friendly,11
vegas,8
try,15
fritter,11
filled,7
box,7
cronut,16
cinnamon,6
love,12
apple,9
donuts,92
blueberry,18
town,9
donut,48
amazing,10
stop,8
croissant,15
ladies,7
glazed,13
day,7
didn,9
stopped,6
found,6
quality,6
red,6
service,7
doughnuts,14
delicious,13
little,8
nthe,8
dozen,10
don,7
definitely,6
shop,20
texture,6
local,6
cronuts,16
buttermilk,6
prices,7
crumb,6
coffee,10
bit,6
sweet,18
doughnut,14
lady,7
dunkin,6
raspberry,6
super,8
ace,24
favorite,7
fritters,9
happy,6
cake,11
gone,6
taste,13
nice,9
chocolate,8
holes,7
time,15
fresh,13
