words,count
nwe,10
sorry,6
worth,8
enjoy,9
chef,14
nthe,11
told,17
brought,10
recommend,11
glass,6
wine,8
meat,8
potatoes,6
meal,20
little,11
ate,8
wasn,15
service,42
top,7
recommended,10
don,16
menu,15
rice,16
plate,11
bar,7
bad,30
quickly,7
plates,13
tuna,7
left,16
night,11
people,21
super,10
ribs,7
dinner,20
happy,13
tell,6
check,12
potato,8
time,23
manager,28
finally,10
vegas,19
pork,6
drinks,8
water,10
maybe,9
tapas,48
cold,8
lunch,11
half,6
didn,17
waiter,18
cheese,12
spanish,9
friend,8
poisoning,7
tasted,14
dining,9
price,14
especially,6
hungry,8
salt,7
calamari,7
black,6
disappointment,6
chorizo,11
sauce,10
coffee,7
mediocre,10
week,7
money,8
flavor,11
server,22
served,7
lobster,8
overly,6
stars,8
spicy,6
taste,15
poor,7
dish,14
worst,14
experience,21
hour,12
salted,6
salty,14
food,83
eat,12
found,7
hard,6
terrible,10
bland,8
guess,7
extremely,8
fine,9
pretty,13
paella,27
restaurant,44
scallop,6
expensive,10
peppers,6
bill,7
disappointing,8
arrived,7
person,9
tables,7
disappointed,12
eating,8
fried,9
called,7
nice,14
prepared,6
cooked,12
baby,7
aria,20
dessert,9
try,14
sangria,9
salad,11
instead,6
serrano,15
looks,11
doing,7
strip,6
special,13
red,7
completely,8
waitress,7
lot,8
julian,11
dishes,20
looked,8
chicken,14
croquettes,8
horrible,14
joke,7
table,22
tiny,8
piece,7
minutes,20
mushroom,7
else,14
friends,8
