words,count
asian,9
worth,6
nthe,15
wine,7
bread,15
meal,20
free,7
wasn,13
service,34
don,11
definitely,7
menu,16
bar,6
steak,13
left,7
fusion,8
night,17
dinner,21
roll,6
time,13
vegas,15
water,6
reviews,6
appetizers,6
didn,17
waiter,18
little,6
friend,9
dining,7
price,8
review,8
flavor,10
disappointed,6
server,11
served,8
naan,10
stars,9
taste,6
poor,10
dish,13
scallops,7
experience,13
sensi,25
food,43
found,6
bland,6
salmon,7
fine,6
pretty,10
restaurants,7
restaurant,22
expensive,6
nice,12
day,7
special,6
table,13
party,6
star,7
