words,count
nwe,8
worth,9
nthe,19
dry,6
items,8
glass,7
pizza,10
bread,12
meal,13
delicious,12
wasn,18
service,32
don,6
treats,7
definitely,14
toast,8
menu,15
rice,9
bar,22
bad,9
grilled,7
sushi,25
tuna,13
night,15
people,8
poolside,6
buffet,7
dinner,24
happy,11
palms,19
time,14
vegas,12
pork,6
drinks,11
french,9
wait,6
entrees,6
love,7
awesome,6
sunday,13
staying,7
spot,6
mac,12
main,6
half,6
didn,16
looking,6
waiter,9
cheese,28
little,17
friend,6
breakfast,13
price,9
calamari,9
edamame,6
pay,6
bowl,7
disappointed,7
server,12
served,12
lobster,8
nmy,6
strip,8
lot,6
spicy,8
tasty,6
pool,20
platter,8
burger,9
options,8
family,7
hour,10
okay,13
wouldn,9
food,59
benedict,7
eggs,7
salmon,6
pretty,19
probably,8
restaurant,29
crispy,11
hostess,8
fun,6
decor,7
arrived,6
bit,15
servers,6
impressed,8
fries,8
fried,6
cotton,15
nice,20
cooked,8
fresh,8
simon,43
friendly,9
dessert,14
try,12
salad,18
shrimp,12
located,7
day,6
special,7
stars,6
loved,6
dishes,6
atmosphere,7
chicken,13
staff,6
overall,7
view,10
appetizers,10
table,18
decent,7
brunch,36
drink,7
candy,16
meatloaf,9
eat,17
junk,7
friends,11
