words,count
nwe,14
worth,14
enjoy,13
nthe,32
meals,7
told,8
dry,7
fantastic,7
brought,18
guests,6
music,53
recommend,13
glass,9
excellent,8
amazing,16
wrong,10
las,8
oysters,6
wine,27
bread,22
meat,10
potatoes,20
meal,35
bone,11
saturday,8
little,21
free,6
loud,51
delicious,12
wasn,23
service,76
top,14
girls,8
seated,19
mashed,12
don,30
definitely,6
overpriced,12
enjoyed,8
menu,20
plate,10
appetizer,10
bar,22
bad,16
steak,115
decided,6
received,7
bathroom,13
expected,7
mushroom,7
nif,9
tuna,10
butter,8
left,14
night,32
crowd,6
people,38
corn,9
paid,8
super,11
dinner,47
plus,9
medium,20
hear,18
type,6
inside,8
average,17
mediocre,11
tip,6
time,54
silverware,10
manager,12
finally,11
vegas,50
cool,7
guy,7
steaks,28
drinks,18
water,6
wait,23
love,7
extra,8
live,8
club,22
reviews,14
awesome,7
heard,7
exceptional,6
mac,22
birthday,13
guys,6
maybe,16
talk,6
cold,9
appetizers,9
hot,6
course,7
half,6
looking,12
couldn,11
waiter,28
waited,13
cheese,33
friend,13
unfortunately,9
tasted,11
sat,10
dining,30
price,24
especially,6
playing,6
husband,10
steakhouses,6
seat,6
review,7
comes,8
attentive,7
paying,8
ribeye,8
evening,12
par,8
check,11
bottle,9
hubby,6
noverall,6
money,9
flavor,10
disappointed,13
server,21
served,9
nice,25
lobster,16
business,7
nmy,6
strip,11
stars,15
trying,10
taste,10
poor,6
wife,6
parmesan,7
dish,12
enjoying,6
sitting,9
list,10
steakhouse,19
sub,6
experience,24
amount,7
eye,10
basically,6
hour,8
okay,12
tried,6
short,11
overcooked,11
soon,6
actually,8
sauce,22
wouldn,15
food,116
level,6
house,9
hard,12
expect,12
leave,6
terrible,9
feel,12
guess,8
hotel,11
stk,80
tartare,10
extremely,10
fine,17
pretty,16
hip,7
restaurants,11
tender,7
probably,8
restaurant,55
sweet,6
expensive,19
mind,14
else,10
prices,6
look,7
hostess,12
bill,11
fun,11
rib,12
arrived,15
person,18
tables,11
cut,13
location,9
couple,7
bit,8
trendy,6
eating,14
impressed,10
fast,6
filet,25
line,9
fries,17
cosmo,9
prepared,6
reservation,27
cooked,31
friendly,6
pay,12
dessert,15
asparagus,15
try,11
waiting,14
busy,12
casino,8
crab,10
started,7
salad,18
sit,8
instead,13
vibe,10
mentioned,6
perfect,7
lounge,7
day,9
ambiance,10
special,10
times,7
conversation,12
waitress,14
scene,7
quality,18
perfectly,9
lot,7
dishes,6
able,12
looked,6
atmosphere,16
staff,14
won,6
overall,6
gras,9
table,48
decent,10
party,13
drink,14
didn,42
truffle,15
rare,12
beef,14
mushrooms,6
tiny,8
rushed,7
eat,26
minutes,36
reservations,10
pie,7
stay,6
foie,13
friends,11
understand,8
