words,count
nwe,8
worth,11
nthe,9
ayce,25
cooking,9
told,25
items,7
meats,14
honey,17
bulgogi,9
meat,49
tip,27
little,9
ate,6
wasn,14
service,80
top,8
kept,8
seated,10
don,27
busy,11
rice,28
plate,10
bad,24
decided,8
belly,11
nif,6
left,17
brought,14
night,6
people,20
super,6
eat,33
tell,9
check,6
time,42
finally,11
vegas,13
cook,12
leave,7
pork,14
drinks,10
water,25
wait,13
car,6
reviews,8
soup,11
ribs,6
maybe,8
lunch,8
half,7
didn,36
waiter,9
waited,10
friend,6
hut,6
ridiculous,7
sat,7
dining,6
multiple,6
price,6
paid,6
hungry,7
slow,9
paying,8
charged,7
rest,6
server,23
served,8
stars,6
spicy,7
pitcher,8
trying,7
dirty,6
poor,7
sitting,9
worst,14
tea,11
experience,9
amount,7
door,9
town,6
grill,20
sucks,8
okay,7
tried,9
rude,11
coming,12
short,9
sauce,6
wouldn,7
food,81
girls,7
brisket,14
waiting,9
pretty,7
money,6
won,6
probably,6
restaurant,24
expensive,6
empty,6
else,11
look,11
bill,9
person,13
tables,14
disappointed,6
eating,7
nso,6
tofu,6
servers,8
fried,9
nice,6
walked,11
cooked,11
try,10
giving,6
menu,21
started,8
customer,11
times,13
waitress,28
noticed,6
quality,13
start,6
lot,7
bother,6
dishes,6
korean,50
looked,9
bring,13
combo,6
kimchi,6
horrible,14
table,36
decent,6
bbq,31
party,6
hair,6
getting,10
minutes,18
sirloin,6
pig,17
friends,8
yelp,6
kalbi,7
