words,count
sichuan,12
asian,7
nthe,23
tips,19
told,11
kids,6
nwhen,8
brought,9
recommend,6
hot,10
worst,17
wine,11
meal,9
wasn,8
service,46
don,25
overpriced,8
menu,22
rice,14
bad,27
bai,11
mandatory,6
beef,13
bings,6
dumplings,6
vegetable,9
left,7
yes,6
people,16
dinner,8
soy,17
portions,6
check,15
shit,6
tip,24
milk,16
charge,8
vegas,7
pork,10
water,14
reviews,7
soup,22
sour,6
cold,6
lunch,9
rude,6
waiter,12
star,12
checked,6
white,9
sao,6
tasted,9
breakfast,22
sat,6
price,15
husband,8
review,8
tasteless,7
mediocre,8
pay,8
charged,9
lady,9
server,7
spicy,14
dirty,7
taste,18
poor,7
chinese,42
dish,13
paying,6
worse,7
awful,8
tea,9
experience,13
amount,9
family,14
waiters,8
salty,19
coming,7
egg,12
style,7
sauce,9
food,83
fish,12
hard,7
terrible,9
added,6
extremely,9
pretty,10
restaurants,15
restaurant,40
sweet,6
crispy,7
expensive,6
finally,6
else,7
prices,7
bill,32
arrived,7
noodle,9
customers,9
gratuity,15
fried,12
walked,7
fresh,7
garden,6
try,15
pancake,9
sit,7
waitress,7
owner,9
time,23
dishes,21
please,9
chicken,6
taiwanese,13
horrible,10
table,24
party,8
add,13
didn,15
eat,8
minutes,8
yelp,8
