words,count
nwe,6
worth,6
japanese,8
chef,15
nthe,15
recommend,6
wasn,12
service,31
hibachi,18
seated,11
regular,9
don,18
definitely,9
menu,27
rice,20
bar,11
steak,6
groupon,35
weren,6
sushi,42
left,10
night,11
people,17
dinner,19
deal,6
happy,10
tip,9
roll,12
time,22
vegas,6
cook,6
drinks,12
change,6
wait,6
box,7
maybe,13
tempura,8
tasted,6
sat,6
price,15
review,8
money,6
flavor,7
server,10
chefs,7
scallops,9
experience,12
family,8
charge,8
hour,12
tried,7
paper,8
wouldn,7
food,43
osaka,18
guess,7
pretty,7
probably,9
restaurant,22
expensive,7
else,6
prices,7
bill,6
tables,6
location,8
bit,7
rolls,17
fried,14
minutes,18
nice,10
pieces,7
shrimp,18
entree,6
times,9
waitress,8
quality,9
chicken,14
horrible,9
table,18
party,10
drink,9
didn,11
