words,count
nwe,6
chef,15
nthe,15
told,6
recommend,6
glass,6
confit,8
wine,16
bread,14
meal,14
daniel,16
wasn,12
service,41
seated,6
don,8
menu,14
plate,8
bar,9
steak,13
brasserie,10
expected,6
people,8
dinner,15
happy,7
average,8
time,20
vegas,17
french,25
water,14
entrees,6
visit,6
soup,24
birthday,8
lunch,6
half,7
waiter,20
cheese,8
friend,13
dining,10
price,6
cocktails,6
review,6
check,8
flavor,6
server,11
taste,9
poor,6
dish,9
burger,16
scallops,6
experience,10
salty,6
okay,9
boulud,15
food,42
hotel,9
fine,8
pretty,7
restaurants,10
sea,7
probably,7
restaurant,41
look,7
bill,7
person,6
fries,11
nice,14
dessert,7
try,7
duck,10
salad,8
shrimp,7
special,8
quality,7
stars,6
staff,6
table,16
decent,7
drink,7
onion,16
didn,11
mushrooms,7
venetian,8
minutes,21
else,6
portion,7
