words,count
ron,24
friendly,97
town,9
cool,6
quick,64
guy,38
drinks,7
waiting,7
water,38
wait,30
experience,26
love,9
extra,6
highly,17
vehicle,9
excellent,9
customer,21
car,42
awesome,23
sunday,8
ronnie,87
smogged,9
spot,6
coming,19
pulled,7
cold,9
thank,8
amazing,12
offers,7
day,10
found,7
smog,155
cars,9
free,25
pleasant,8
care,6
soda,14
waited,12
wash,14
owner,23
little,9
service,107
station,18
shell,8
efficient,13
convenient,11
recommended,8
price,10
extremely,8
don,8
drive,7
definitely,43
professional,9
review,7
bring,7
stop,6
courteous,8
thanks,14
won,6
checks,8
offered,33
gas,7
windmill,11
drink,10
greeted,9
bottle,13
location,10
easy,38
helpful,17
chairs,9
candy,26
people,6
business,11
discount,11
super,54
getting,8
hot,6
registration,7
fast,68
happy,8
offer,10
recommend,30
dmv,12
minutes,29
check,73
test,6
nice,38
star,6
friends,7
yelp,16
vehicles,7
beverage,7
time,32
