words,count
nwe,7
dessert,8
vegas,14
try,8
nthe,15
chicken,7
experience,8
lasagna,6
options,6
salad,9
amazing,6
entree,6
decor,6
stars,7
wine,18
sauce,8
food,52
risotto,7
didn,10
meal,12
delicious,6
expect,6
frank,8
service,18
encore,7
dining,9
price,6
don,8
average,7
wynn,8
fine,9
menu,17
pretty,15
plate,6
overall,6
bad,6
steak,6
husband,7
restaurants,8
flavor,7
restaurant,17
veal,7
sinatra,35
vegan,7
server,7
italian,15
lobster,6
friend,7
pasta,12
dinner,12
strip,6
tasty,6
nice,17
star,6
time,16
