words,count
yummy,6
shack,8
friendly,9
outside,20
vegas,17
nthe,15
maine,15
staff,6
love,12
crab,41
recommend,7
kiosk,6
warm,7
worth,9
mall,21
front,10
cold,7
located,8
food,18
half,6
bread,13
meat,16
didn,13
try,11
little,24
delicious,10
size,7
fashion,18
price,8
don,8
seafood,19
definitely,13
chowder,15
pretty,7
luke,19
chips,7
claws,7
toasted,8
flavor,6
tables,7
location,8
bit,8
clam,16
soft,8
seating,17
people,6
lobster,129
bisque,9
super,8
shrimp,18
stand,6
strip,14
rolls,38
stars,6
buttery,9
trying,7
eat,8
portions,10
blueberry,6
taste,9
tasty,8
roll,62
nice,7
time,10
fresh,25
