words,count
nwe,14
bacon,15
nthe,21
fantastic,8
brought,9
recommend,10
glass,6
excellent,13
amazing,8
green,6
wine,6
potatoes,9
waffle,8
little,24
free,6
loud,6
wasn,13
einen,7
service,51
tom,6
seated,9
mashed,8
don,9
definitely,19
enjoyed,9
menu,19
appetizer,7
bar,34
steak,18
lots,6
beer,12
dark,6
burgers,7
kale,6
dining,7
night,12
people,6
ich,8
super,14
dinner,19
happy,7
time,33
yummy,6
vegas,20
die,12
quick,8
drinks,10
filled,6
water,6
snack,7
wait,14
visit,7
meatball,9
awesome,16
spot,8
mac,12
appetizers,10
hot,9
lunch,6
didn,15
looking,9
auch,8
waiter,13
cheese,24
bite,7
breakfast,28
sat,7
gyro,8
hungry,6
calamari,7
slow,9
attentive,13
ein,10
ribeye,6
noverall,6
flavor,9
server,22
served,6
lobster,9
meal,12
strip,41
stars,9
spicy,6
ravioli,14
taste,10
tasty,12
cooked,8
dish,6
burger,21
hours,6
experience,12
amount,7
options,6
eye,8
hour,11
der,10
huge,12
sandwich,15
actually,8
sauce,12
food,76
party,6
stopped,6
found,6
house,7
reason,6
hotel,11
check,11
promenade,14
pretty,12
tender,10
close,6
restaurant,24
sweet,9
flavorful,6
rip,10
rib,11
delicious,18
location,13
couple,6
bit,18
wings,7
towards,6
prices,7
linq,33
fries,20
fried,7
nice,36
fresh,16
friendly,12
outside,9
asparagus,15
try,10
wir,8
salad,17
lamb,8
located,11
prawns,8
perfect,6
das,17
day,8
special,6
times,6
wrapped,13
perfectly,6
able,7
waffles,7
mit,6
atmosphere,8
chicken,39
staff,6
overall,7
grab,9
table,13
decent,7
choices,6
und,25
drink,16
flamingo,6
truffle,21
eat,8
minutes,7
star,6
else,8
yelp,9
portion,11
