words,count
limited,6
nwe,7
enjoy,7
nthe,33
dry,16
meats,7
recommend,13
veggies,6
hot,65
las,6
bread,14
meat,31
meal,18
free,6
isn,7
lettuce,19
delicious,14
wasn,15
service,19
flavorful,12
regular,14
don,27
definitely,26
bomb,6
busy,9
menu,7
rice,47
plate,25
bad,8
hummus,7
pita,27
beef,33
air,6
bottles,6
expecting,6
night,13
people,15
platters,6
baklava,13
super,7
son,6
happy,6
heat,7
inside,10
time,48
vegas,30
quick,9
eating,6
water,12
wait,10
healthy,6
love,14
extra,12
visit,11
awesome,9
heard,8
nyc,23
spot,8
guys,52
cold,7
amazing,9
lunch,15
half,8
didn,17
tried,11
cart,13
size,20
little,29
bite,6
white,92
price,6
gyro,53
parking,13
outside,7
comes,10
sauce,177
bowl,7
flavor,19
seating,10
broken,6
favorite,7
mixed,7
strip,12
stars,8
spicy,18
trying,9
taste,16
tasty,16
platter,55
original,8
careful,7
experience,11
amount,9
okay,8
coming,7
actually,11
late,11
food,83
feel,8
guess,6
store,6
noverall,10
pretty,24
famous,7
hype,20
probably,18
restaurant,10
fire,6
grand,6
tables,12
location,14
couple,6
bit,19
falafel,28
fast,11
line,26
nice,18
fresh,9
friendly,16
try,24
salad,6
sit,8
tomato,9
perfect,7
cause,6
red,31
york,12
craving,6
times,13
lot,14
loved,9
halal,51
chicken,68
staff,16
combo,55
overall,6
joke,6
table,6
unlike,6
tomatoes,7
drink,6
day,16
add,7
kick,8
getting,8
eat,20
chance,6
yelp,8
portion,14
