words,count
nwe,15
worth,60
tickets,71
flashy,6
enjoy,17
nthe,42
weren,6
told,8
kids,8
items,7
changed,6
fantastic,21
highly,21
guests,8
coins,6
music,19
recommend,32
tell,19
phone,9
excellent,12
rights,10
times,26
amazing,59
lot,41
las,24
appreciate,15
greet,35
office,8
yourself,11
wooden,8
signing,6
saturday,7
surprise,7
hang,18
little,28
free,17
starts,11
days,7
heck,6
isn,10
wasn,15
top,11
mind,28
talking,6
seen,83
involving,7
don,87
definitely,34
entertaining,58
saying,6
participate,7
enjoyed,22
explain,12
watch,34
bad,11
thanks,10
lots,9
com,6
speak,8
expected,9
life,6
craft,8
catch,11
player,11
perform,6
pick,8
nif,14
opportunity,8
nit,11
left,14
photo,11
yes,16
note,8
unique,8
brought,7
performing,7
night,35
deal,9
people,54
humor,20
participation,25
pose,7
discount,11
super,11
crowd,22
happy,8
head,6
hear,13
true,9
entertainers,6
trip,24
floor,11
picture,14
jones,17
bullet,20
nthis,11
time,118
row,23
amaze,7
finally,9
vegas,151
minute,7
cool,33
level,11
leave,11
quick,6
guy,6
sign,60
entertained,9
run,9
drinks,14
goes,7
goldfish,9
change,12
wait,23
box,27
usually,8
love,72
extra,14
live,33
envelope,18
reviews,6
figure,11
awesome,50
performed,12
allowed,6
magician,9
soleil,6
watching,11
plus,12
birthday,6
guys,74
mezzanine,10
pulled,9
talk,26
nwhat,8
course,7
shake,6
thank,6
views,8
half,20
bullshit,19
didn,39
looking,8
card,8
cheesy,8
bits,12
friend,11
boyfriend,8
pre,6
angel,12
sat,14
performance,29
theatre,16
price,16
paid,14
especially,10
nthey,21
jazz,32
truly,16
jokes,9
husband,15
seat,14
wonder,7
outside,16
afterwards,12
photos,23
trick,78
invited,9
pay,8
check,22
week,10
favorites,6
totally,14
theater,36
magical,10
amazed,8
money,17
touch,6
thinking,6
real,16
read,6
disappointed,6
audience,130
laughing,7
seating,10
inspect,10
nmy,14
stand,10
act,55
strip,18
start,8
low,6
trying,11
watched,10
spoilers,6
booked,6
wife,12
tricks,162
follow,7
sitting,10
selfies,10
fan,54
ticket,17
enjoyable,6
celebrity,6
nand,10
experience,14
pics,15
family,8
vip,13
takes,6
autographs,63
flag,6
glad,12
town,12
hour,18
purchased,6
libertarian,10
huge,20
acts,36
stayed,7
expecting,8
lighting,6
coming,8
short,9
loud,6
playing,18
actually,16
penn,326
fool,9
evening,10
nafter,11
easily,8
found,14
house,6
fish,6
hard,18
idea,7
engaging,6
expect,12
ass,7
bass,23
guess,6
reason,6
feel,14
cirque,8
wonderful,13
hotel,6
appreciation,6
discounted,8
believe,8
performers,11
commentary,13
pianist,7
play,7
sometimes,7
celebrities,6
pretty,32
set,10
close,28
pictures,85
wow,9
fans,46
won,20
probably,14
available,7
npenn,12
attention,6
liked,6
simply,8
duo,22
political,31
else,11
look,17
bill,9
fun,42
rio,49
funny,58
person,29
illusions,30
excited,6
couple,12
bit,32
absolutely,9
seeing,26
rows,7
line,15
highlight,8
called,6
showtime,17
metal,6
doesn,11
single,10
nas,7
nice,24
ago,18
youtube,8
fresh,7
friendly,6
entire,10
magic,187
try,10
picked,9
earth,8
plays,10
props,16
involved,12
casino,6
opinion,8
makes,20
camera,7
themselves,7
started,10
meet,59
favorite,21
magicians,29
sit,26
comedy,44
autograph,7
lines,6
material,7
hands,13
front,20
day,15
masters,8
doing,16
special,7
entertainment,16
interaction,11
david,6
blown,9
stars,12
loved,52
comfortable,11
able,12
mix,10
awe,7
class,7
bring,12
piano,14
familiar,9
lucky,9
stuff,12
view,11
nthere,7
closer,9
routine,7
job,7
boss,6
taking,17
etc,7
walk,9
laugh,10
treat,9
mike,17
secrets,7
politics,17
ball,7
lobby,36
incredible,7
seats,58
add,8
teller,318
smart,9
lost,6
criss,9
literally,6
bullsh,11
slight,10
stage,86
getting,15
buy,10
wish,11
signed,17
hand,21
minutes,21
penny,8
balcony,11
book,8
illusion,18
star,6
stay,20
chance,11
friends,6
copperfield,13
