words,count
limited,6
asian,8
worth,20
enjoy,10
almond,8
japanese,64
chef,10
items,25
fantastic,12
highly,8
recommend,16
blueberry,12
glass,6
excellent,11
sitting,8
amazing,29
green,88
japan,17
savory,18
rocky,6
filling,13
reasonable,7
chiffon,14
whip,6
heavenly,8
ate,11
days,9
bite,7
delicious,75
wasn,12
service,24
top,10
bacon,7
serve,7
nthe,30
mind,8
mouth,11
don,28
treats,13
definitely,36
busy,9
menu,6
sugar,9
lube,7
stop,9
bad,6
fluffy,16
decided,8
omg,6
fruits,11
jelly,7
layered,7
tastes,6
balance,7
sushi,6
nif,8
nit,7
seasonal,6
unique,10
people,16
ice,29
adorable,6
super,24
happy,16
inside,6
topped,7
nthis,7
time,48
layers,10
yummy,16
finally,9
vegas,36
item,7
quick,6
filled,6
change,6
wait,12
box,7
usually,7
love,76
flavors,21
visit,19
creamy,8
live,11
chocolate,38
tokyo,7
awesome,14
spot,7
birthday,14
mango,17
macaron,6
cute,18
course,8
thank,9
kabuto,6
half,6
didn,15
looking,18
couldn,7
selections,6
cheese,13
little,46
tell,8
las,10
feuille,6
apples,6
coconut,24
tasted,8
pastry,69
cheesecake,24
price,8
especially,10
drive,15
tooth,10
shop,33
nthey,7
texture,9
gem,7
husband,9
review,12
whipped,16
mont,28
comes,9
hidden,8
coffee,32
check,11
fruit,12
delicate,13
favorites,13
delectable,7
flavor,21
mom,8
disappointed,6
served,6
nice,33
overly,18
business,6
nmy,10
favorite,54
road,7
strip,8
aren,8
strawberry,77
gone,6
taste,24
tasty,9
daily,8
wife,6
puffs,41
fan,12
tea,107
crust,9
bakeries,8
experience,7
amount,9
sweetness,15
chestnut,9
door,7
kabocha,9
glad,7
town,14
beautiful,8
simple,6
tried,34
coming,15
short,8
soon,8
mousse,6
style,17
food,14
found,8
heavy,9
house,12
hard,11
tiramisu,8
owners,12
feel,12
blanc,30
banana,15
store,8
believe,6
sell,7
moist,6
sometimes,7
traditional,6
clean,13
pretty,12
caramel,7
close,10
creme,9
probably,8
available,6
shortcake,31
cakes,57
sweet,105
whatever,6
cream,152
flavorful,6
prices,13
look,11
tables,7
location,8
bit,25
helpful,6
absolutely,7
tofu,7
apricot,6
doesn,8
crepes,105
tart,15
fresh,30
desserts,68
friendly,24
dessert,37
try,81
goodies,6
yuzu,12
makes,16
apple,26
customer,6
wonderful,16
panna,12
jiffy,6
light,41
bakery,36
looks,8
perfect,34
choose,8
cotta,13
hands,7
day,17
doing,7
variety,11
special,15
red,18
craving,10
times,9
pudding,7
quality,18
perfectly,10
lot,17
crepe,135
haven,8
loved,7
able,6
mille,26
looked,7
selection,7
nutella,18
staff,20
won,9
bean,19
ones,6
perfection,6
stuff,9
bought,7
etc,8
puff,37
addition,6
treat,11
vanilla,13
anko,8
sweets,12
ingredients,7
immediately,6
soft,12
home,10
suzuya,72
getting,9
flaky,6
pastries,106
own,7
matcha,8
custard,25
buy,9
strawberries,6
eat,21
wish,10
cake,162
piece,6
display,14
pie,39
chance,6
baked,7
