words,count
nwe,6
told,7
employees,9
highly,11
recommend,16
excellent,6
organized,8
handguns,8
answer,8
las,9
purchase,40
ammo,20
welcomed,6
days,6
service,41
top,6
john,13
talking,6
seen,6
gear,9
don,7
definitely,22
stop,9
accessories,16
inventory,7
couple,8
greeted,11
thanks,13
background,6
informative,6
people,17
super,15
happy,9
time,44
answered,9
vegas,18
gun,97
guy,12
love,13
firearm,27
reviews,7
awesome,30
guys,53
talk,6
thank,11
didn,16
looking,38
holsters,6
future,8
online,7
price,12
professional,9
shop,38
walking,6
gen,6
model,6
knowledgeable,36
sights,9
pushy,7
eddie,6
business,14
valley,7
buying,17
money,6
guns,17
experience,23
options,6
door,6
town,21
purchased,15
coming,14
help,23
soon,10
stopped,7
found,9
feel,18
store,73
rifle,8
check,19
extremely,11
clean,10
stores,26
recently,7
else,7
prices,31
firearms,65
competitive,8
questions,22
customers,9
bit,6
pricing,6
question,7
nice,18
helping,6
walked,16
friendly,58
products,8
customer,30
sig,6
stock,13
counter,11
knowledgable,8
perfect,7
day,7
experienced,7
shannon,24
transfer,6
owner,14
lot,12
comfortable,7
able,6
purchasing,10
selection,21
staff,60
knowledge,11
local,12
stuff,9
pistol,6
bought,16
mags,7
walk,9
mike,7
glock,17
welcoming,6
helped,15
helpful,34
home,11
freedom,54
own,6
buy,20
hand,7
intimidating,6
bcm,8
