words,count
friendly,10
vegas,19
margarita,8
die,8
try,16
nthe,8
sls,18
crust,32
staff,9
mozzarella,12
options,6
love,11
recommend,12
tell,6
excellent,6
salad,11
hot,6
pizza,149
spot,6
dough,9
oven,8
perfect,10
amazing,13
degrees,13
sauce,13
food,13
front,10
bread,8
oil,8
quick,8
base,6
times,8
cheese,19
delicious,15
quality,7
little,7
service,14
white,6
don,13
definitely,10
wood,6
restaurant,15
minutes,8
crispy,10
light,6
life,6
prices,6
garlic,10
location,7
real,6
night,10
people,8
truffle,18
favorite,6
toppings,25
own,7
fast,10
spicy,6
eat,8
pie,7
tasty,7
ingredients,19
nice,17
pizzas,12
gelato,6
cooked,8
time,18
fresh,25
