words,count
machines,22
phone,7
locker,9
times,10
machine,15
workout,13
free,6
girls,6
gym,78
classes,18
don,21
busy,13
bar,11
lots,7
eastern,7
night,8
people,31
time,28
vegas,6
sign,6
love,10
club,7
cardio,12
membership,9
facility,7
lvac,30
little,10
locations,7
equipment,17
track,13
parking,12
contract,9
pay,6
fitness,6
pool,11
month,8
hours,12
amount,7
hour,6
coming,6
crowded,13
actually,8
upstairs,7
weight,9
feel,8
clean,10
pretty,10
probably,7
look,6
location,23
nice,15
weights,9
cell,6
makes,9
women,10
day,10
lot,9
class,17
staff,9
packed,7
decent,6
sauna,11
flamingo,9
own,6
