words,count
forget,6
friendly,19
town,10
vegas,24
quick,6
guy,7
crust,9
love,13
family,10
excellent,7
customer,7
salad,10
reviews,6
awesome,8
hot,11
pizza,126
las,10
amazing,13
food,27
bread,6
found,13
try,7
quality,6
yuri,7
times,6
pepperoni,8
cheese,8
delicious,14
little,11
service,22
hotel,6
price,13
don,10
chicken,15
stop,6
joint,6
decided,6
restaurant,6
prices,6
garlic,9
customers,7
wings,9
night,7
deal,6
people,7
absolutely,6
delivered,6
sicili,15
business,10
favorite,7
meal,6
strip,12
fast,6
delivery,18
definitely,14
nice,9
time,21
yelp,10
fresh,15
