words,count
nwe,11
asian,29
worth,16
eggrolls,15
enjoy,15
consistent,6
nthe,48
dry,6
items,15
leaves,9
credit,8
slices,8
highly,15
brought,6
recommend,28
glass,9
warm,9
excellent,16
veggies,35
times,25
hot,72
yum,8
lac,7
wrong,12
las,31
green,9
saigon,6
fix,6
coffee,24
combination,12
meat,79
crunchy,8
reasonable,9
bowls,10
little,59
standard,7
ate,6
days,20
isn,9
lettuce,24
delicious,51
wasn,21
service,144
top,13
plentiful,7
condiments,6
seated,11
matter,6
feeling,6
flavorful,20
mine,6
mint,14
recommended,10
regular,11
mouth,7
plenty,11
don,54
jalapenos,6
definitely,35
enjoyed,13
nservice,8
menu,45
rice,72
plate,30
stop,14
greens,9
dipping,13
bad,17
grilled,28
steak,27
decided,10
noodles,76
lots,12
amazing,15
com,16
beef,125
quickly,9
basil,15
tastes,12
air,6
broth,87
cucumbers,6
plates,10
outside,9
nif,8
kim,12
nit,7
left,10
yes,15
easy,8
sliced,8
night,40
meats,9
deal,7
people,49
ice,9
super,13
dinner,10
wrap,13
soon,6
gio,8
happy,10
portions,26
tell,7
sprouts,21
check,8
marinated,6
smell,13
roll,33
weekend,8
nthis,11
time,92
hawaii,10
milk,9
yummy,13
finally,8
choice,9
vegas,120
cook,21
impressive,6
quick,27
guy,7
dip,11
pork,52
sign,6
goes,8
shared,8
filled,8
water,24
wait,35
usually,51
weird,6
love,49
extra,22
visit,15
live,7
msg,10
nuong,20
reviews,7
soup,77
crazy,10
awesome,18
heard,6
flank,16
sour,6
nuys,6
remember,11
whenever,7
maybe,14
typical,7
cold,19
lunch,24
half,6
name,6
didn,28
cuon,6
looking,19
npho,10
card,6
care,7
waiter,12
waited,7
nthere,7
yourself,13
fast,28
size,8
city,7
friend,18
hue,8
vermicelli,33
thai,10
boyfriend,11
dining,9
normal,8
price,22
tendon,14
especially,21
seafood,9
drive,11
nthey,13
cheap,15
slow,6
husband,11
parking,13
review,11
comes,32
actually,13
attentive,6
sauce,63
chinatown,9
cash,9
pay,9
bowl,63
trip,7
finish,6
favorites,7
summer,8
money,8
flavor,26
dipped,6
extensive,7
real,6
mom,6
server,15
served,20
seating,7
nbut,8
business,7
nmy,12
favorite,53
meal,20
chop,7
aren,7
lol,10
stars,16
spicy,7
trying,10
taste,25
tasty,36
fill,7
herbs,11
wife,6
week,13
chinese,11
dish,47
fan,11
list,6
tea,30
hours,8
strong,7
experience,25
amount,15
family,18
town,27
grill,32
none,9
hour,6
share,10
salty,11
huge,16
okay,13
tried,34
coming,19
authentic,17
crowded,9
egg,73
help,8
paper,15
style,7
late,32
wouldn,9
return,8
food,175
piping,6
found,20
fish,23
hard,13
oil,11
expect,11
pho,580
lemongrass,7
guess,11
reason,9
dont,8
feel,10
brisket,14
option,10
believe,9
gotten,6
mountain,8
eaten,6
sometimes,17
clean,21
noverall,7
wraps,8
pretty,73
hit,11
restaurants,29
tender,7
close,9
probably,24
recently,9
attention,9
restaurant,84
liked,8
sweet,14
damn,6
mind,9
prices,22
look,9
raw,10
fun,12
fatty,6
arrived,7
noodle,33
person,9
spend,7
tables,11
cut,6
location,7
couple,8
bit,28
popular,6
absolutely,7
spring,75
sauces,10
porridge,7
eating,18
nyou,7
servers,13
rolls,128
fried,33
called,7
doesn,10
lemon,8
nice,25
daikon,8
cooked,10
fresh,43
vietnamese,129
peanut,10
friendly,26
waiters,9
drinking,8
try,69
fine,6
waiting,11
busy,38
vinegar,6
opinion,6
makes,16
lime,13
cha,10
iced,8
crab,6
customer,7
salad,15
thit,6
thin,7
shrimp,53
onions,9
tai,11
sit,9
instead,12
waters,6
light,9
honestly,7
perfect,17
dac,11
hands,7
doing,7
strip,33
special,20
red,6
spot,26
craving,13
wrapped,6
lot,49
haven,12
carrots,9
dishes,33
locals,7
korean,6
plus,6
looked,9
biet,11
normally,8
bring,11
chicken,16
staff,19
combo,10
local,6
overall,12
bean,24
course,14
stuff,8
viet,15
tripe,16
packed,18
meatballs,6
tend,8
luc,6
etc,9
table,43
decent,23
bbq,28
finished,6
squid,7
party,6
drink,16
tasted,10
usual,13
generous,9
day,20
add,11
onion,7
sizes,6
tons,9
home,22
rare,24
getting,16
own,12
van,6
vegetables,18
bun,32
eat,42
wish,9
hand,8
minutes,15
compared,8
sick,7
star,12
shredded,6
else,19
friends,16
yelp,13
portion,19
