words,count
nthe,10
dry,17
smoke,13
meats,8
warm,7
excellent,7
hot,15
las,8
waitress,16
bread,9
meat,31
isn,6
delicious,6
wasn,14
service,21
top,6
don,14
busy,6
menu,10
rice,6
plate,11
bar,8
greens,7
bad,17
decided,9
cob,6
tough,6
butter,6
smoked,6
left,8
yes,6
burnt,14
people,12
okra,8
corn,27
ribs,57
dinner,9
potato,8
time,30
vegas,17
pork,30
dried,8
mac,10
maybe,7
pulled,20
cold,16
happened,6
looking,7
cheese,11
little,6
tasted,6
slaw,10
slow,6
disappointed,6
flavor,29
real,7
server,15
nmy,6
favorite,9
meal,15
stars,7
spicy,6
taste,19
championship,6
wife,10
sandwich,11
sauce,26
food,60
hard,7
bland,11
brisket,37
pretty,9
famous,6
tender,10
probably,8
restaurant,18
sweet,9
raw,6
frozen,10
disappointing,7
arrived,8
cut,6
couple,7
sauces,11
eating,6
beans,15
fries,12
fried,12
doesn,7
nice,9
cooked,18
fresh,9
barbecue,15
try,9
vinegar,6
baby,15
salad,11
links,6
mediocre,6
day,9
red,9
times,8
quality,6
apparently,6
sent,6
chicken,12
staff,6
combo,10
table,22
bbq,60
mike,8
didn,15
beef,15
memphis,12
eat,12
minutes,7
