words,count
nwe,6
worth,14
vera,8
vegas,30
tickets,39
magic,41
nthe,8
drinks,7
box,7
kids,13
love,6
family,32
highly,9
vip,19
recommend,11
glad,8
friendly,8
awesome,11
acts,8
amazing,22
comedy,8
pay,7
office,7
didn,11
free,22
afternoon,9
girls,6
loved,16
nathan,53
pre,9
seen,6
armando,10
price,14
paid,7
don,9
entertaining,16
cheap,6
enjoyed,9
pretty,8
watch,7
close,9
definitely,12
bought,6
photos,6
value,10
fun,20
funny,17
magician,7
theater,11
amazed,6
front,7
seats,31
illusions,8
audience,10
people,8
super,6
stage,7
act,7
seeing,6
son,10
strip,7
burton,27
deal,8
buy,7
balcony,8
nice,8
wife,7
dvd,6
tricks,18
time,19
