words,count
limited,8
mackerel,21
yellow,28
nwe,55
asian,27
hanging,7
hate,7
forget,23
sorry,7
worth,63
bringing,7
broiled,15
nfor,8
enjoy,27
tired,6
bacon,52
japanese,376
chef,19
street,10
nthe,109
melted,6
told,16
textures,6
crunch,10
curry,14
china,18
wagyu,7
kids,10
items,142
fantastic,14
nwhen,10
slices,17
highly,32
brought,13
shoyu,7
meaty,6
recommend,63
type,22
tell,31
glass,8
warm,19
excellent,39
hole,9
honey,218
foods,15
veggies,7
sitting,14
amazing,100
description,7
wrong,21
fat,7
types,8
las,63
green,29
suggest,12
fan,25
oysters,14
satisfied,10
japan,61
fit,7
avocado,22
expectations,8
savory,8
hidden,6
fin,12
belly,37
combination,12
break,6
yourself,16
bread,39
meat,22
reasonably,7
crunchy,12
takoyaki,8
reasonable,44
spider,7
bowls,10
tip,15
forgot,10
saturday,11
god,9
heavenly,6
city,13
hang,9
standard,7
ate,24
inexpensive,8
days,11
isn,24
arrived,9
onto,6
bite,21
delicious,157
wasn,36
thick,9
service,110
spinach,13
top,35
girls,11
ton,14
tom,8
serve,14
seated,26
matter,7
feeling,10
mini,8
ran,6
mind,12
talking,7
tataki,47
seen,7
recommended,18
blue,8
regular,21
mouth,47
don,129
definitely,95
saying,7
bomb,16
random,6
enjoyed,18
toast,215
nservice,13
menu,282
rice,137
plate,16
neverything,11
stop,23
appetizer,7
bar,58
bay,10
twice,14
bad,43
grilled,81
steak,18
decided,15
weird,7
noodles,26
lots,20
lazy,6
omg,10
suggested,6
else,29
cod,52
uni,50
tons,12
trust,10
beef,204
buffets,8
quickly,6
beer,33
expected,6
fry,9
life,14
mushroom,10
personally,6
tastes,21
plastered,6
near,8
surprised,16
broth,18
sushi,145
cant,9
experience,61
split,6
vegetable,6
plates,49
toasted,16
fairly,8
nif,20
hand,11
garlic,46
tuna,79
nit,21
butter,26
kept,11
udon,23
left,12
nfirst,6
thanks,11
yes,37
easy,6
save,12
torrance,6
mayo,6
unique,26
sliced,10
night,127
tako,6
guests,6
www,10
deal,14
people,89
shabu,10
okra,11
phenomenal,6
ice,55
creative,7
christmas,6
tartar,22
corn,16
buffet,12
memorable,6
super,44
breaded,11
dinner,50
plus,21
slightly,9
mochi,46
ahi,6
soy,9
crowd,6
amazingly,7
spring,13
call,24
happy,28
head,18
offer,9
ngrilled,6
ikura,8
true,10
portions,19
inside,29
seafood,14
drive,8
sprouts,8
trip,41
marinated,14
smelt,18
floor,17
topped,22
roll,91
cab,15
weekend,13
potato,8
nthis,30
time,253
stick,14
roe,13
skin,26
yummy,38
finally,12
nsalmon,9
ntheir,6
none,7
choice,8
vegas,275
minute,6
cool,16
die,14
specials,59
item,14
soooo,8
quick,18
skewer,21
guy,8
dip,7
pork,74
regret,6
sign,7
cost,9
eating,48
drinks,16
tartare,10
goes,12
shared,13
filled,17
angelina,6
wait,118
bok,8
usually,28
love,190
extra,10
sake,73
visit,58
disappoint,7
sunday,6
creamy,8
live,13
tokyo,11
reviews,31
following,8
heart,6
crazy,18
plaza,9
figure,6
awesome,72
heard,13
katsu,13
write,9
till,8
actual,6
spot,39
birthday,7
guys,8
whenever,11
maybe,22
tapas,50
shishito,6
cute,16
nwhat,9
cold,27
thank,18
quesadilla,7
toro,9
hot,23
faves,6
main,12
nom,7
noh,10
lunch,18
half,27
skewered,12
name,25
didn,72
yeah,11
girl,10
space,9
looking,34
seriously,19
octopus,42
tempura,45
california,17
card,16
care,13
advance,6
couldn,15
yum,34
star,25
waited,8
fast,25
sounds,9
size,14
little,121
draft,6
stuffed,13
white,11
bits,7
friend,50
buta,8
ridiculous,6
boyfriend,12
gotta,15
gobo,6
tasted,26
sat,19
note,11
