words,count
nwe,18
martinis,7
enjoy,6
bacon,20
nthe,33
dry,7
fantastic,11
recommend,15
glass,7
excellent,10
hot,6
las,6
oysters,6
wine,8
hidden,9
bread,31
meat,8
potatoes,24
reasonable,7
meal,20
bone,8
little,17
wasn,9
service,35
spinach,9
top,12
seated,7
mashed,13
don,9
definitely,24
enjoyed,10
nservice,7
menu,49
bar,18
bad,12
grilled,7
steak,60
decided,7
beef,10
garlic,7
butter,8
left,8
night,28
deal,8
people,11
bisque,15
corn,6
super,6
dinner,29
happy,71
medium,7
inside,6
time,30
manager,7
yummy,6
vegas,12
bartender,10
specials,8
steaks,14
drinks,27
creamed,9
wait,6
love,10
chocolate,6
soup,6
awesome,9
cocktail,10
spot,6
mac,16
tapas,42
basket,13
course,6
amazing,15
main,7
half,16
didn,19
looking,10
waiter,6
tomahawk,6
cheese,24
mignon,10
stuffed,17
white,7
tasted,15
dining,8
price,19
hungry,6
cheap,6
calamari,14
gem,11
prime,14
cocktails,12
dates,10
twin,30
ribeye,10
check,8
booths,7
flavor,8
server,14
served,8
lobster,32
shrimp,19
start,7
stars,7
romantic,7
taste,7
tasty,11
cream,10
wife,8
fuego,8
dish,7
steakhouse,16
scallops,12
experience,15
eye,10
town,7
hour,76
okay,8
tried,6
petite,6
actually,7
late,6
sauce,15
evening,8
food,39
week,10
delicious,14
house,13
hard,8
feel,7
fancy,10
creeks,30
pretty,24
tender,11
available,6
restaurant,25
cakes,8
sweet,6
flavorful,6
prices,10
look,6
bill,6
rib,21
decor,8
tables,6
cut,14
bit,14
absolutely,6
visit,9
filet,23
specialty,6
fried,6
nice,35
cooked,19
fresh,9
friendly,11
dessert,8
asparagus,11
try,29
casino,22
crab,13
salad,37
lamb,9
martini,19
perfect,18
lounge,11
day,7
strip,15
ambiance,7
special,15
silverton,20
red,7
times,8
waitress,8
wrapped,13
perfectly,14
lot,9
loved,7
comfortable,8
dishes,11
atmosphere,11
chicken,10
staff,6
creme,6
overall,8
perfection,7
meatballs,6
table,11
decent,6
seasoned,6
bbq,7
party,8
drink,15
broccoli,6
onion,6
soft,6
pepper,6
getting,6
mushrooms,13
eat,8
cake,6
friends,7
