words,count
looking,6
worth,9
venue,13
nthe,11
music,24
recommend,7
vodka,7
amazing,15
beach,29
las,16
cabanas,15
service,21
top,13
girls,12
seen,6
plenty,6
don,12
definitely,20
bar,8
bottles,7
night,22
people,23
clubs,17
super,14
crowd,11
inside,7
trip,8
floor,7
weekend,15
time,36
dance,9
vegas,72
cool,14
bellagio,7
level,7
drinks,19
staff,19
water,11
wait,10
love,16
club,60
awesome,12
cocktail,8
rooftop,14
hot,16
views,12
little,11
friend,7
review,6
check,14
bottle,9
table,15
saturday,9
pool,69
attentive,6
sun,6
experience,13
vip,13
beautiful,16
huge,6
cabana,14
actually,6
food,8
found,6
feel,9
pretty,12
expensive,9
fun,24
bit,8
line,7
nice,17
drai,30
friendly,12
booth,6
private,14
perfect,13
drais,33
day,44
pools,12
strip,27
cromwell,7
loved,6
encore,8
able,6
atmosphere,9
overall,8
view,29
party,37
didn,11
host,9
nightclub,11
own,12
friends,7
