words,count
chinese,9
nwe,7
dish,11
fried,6
ramen,6
try,16
pork,11
tea,7
nthe,12
china,7
pancake,7
experience,9
love,6
iced,6
visit,7
soup,16
pulled,15
hot,9
sauce,6
food,27
didn,13
oil,12
little,7
service,22
noodle,58
tasted,6
mongolian,6
dishes,13
don,13
chicken,7
menu,9
pretty,10
bar,6
bad,12
noodles,58
restaurant,12
table,13
beef,13
else,8
chili,7
broth,10
hand,19
left,8
flavor,12
cut,7
excited,6
people,7
knife,11
eating,9
servers,7
lot,6
spicy,24
eat,6
minutes,6
taste,23
nice,7
star,6
time,13
fresh,11
