words,count
manager,16
worst,12
leave,6
guy,7
waiting,8
told,16
med,7
wait,8
items,7
employees,6
pick,9
call,10
tell,11
phone,14
customer,23
car,9
rude,8
wrong,6
help,6
replies,6
dad,6
day,9
didn,7
glasses,7
try,7
little,6
american,6
service,26
store,24
target,6
mins,6
self,6
price,6
don,18
shop,6
cashiers,6
prescription,9
walk,6
mart,6
oil,8
walmart,42
money,6
location,10
customers,7
boxes,8
michael,10
people,11
avoid,6
line,10
trying,6
dirty,6
minutes,9
check,9
department,8
poor,9
cheaper,6
time,19
