words,count
nthe,11
nicht,10
kids,10
items,6
las,6
meat,7
meal,7
ate,6
ist,11
wasn,6
don,10
plate,6
bar,9
bad,6
decided,8
beef,6
buffets,10
night,6
ich,6
buffet,63
dinner,11
war,7
time,16
vegas,22
die,7
hotels,6
hot,7
lunch,9
didn,7
looking,6
auch,7
cheese,9
little,10
tasted,6
breakfast,23
price,21
average,6
cheap,15
review,6
ein,6
mediocre,6
pay,7
und,17
strip,16
section,7
der,6
food,69
station,10
hotel,27
pretty,11
probably,9
person,7
line,10
fried,8
dessert,8
casino,7
zimmer,6
salad,7
das,10
quality,7
mit,6
looked,9
selection,16
chicken,8
staff,6
eat,27
star,6
est,7
pasta,7
circus,40
variety,7
sich,7
