words,count
nwe,12
worth,15
enjoy,7
bacon,16
nthe,33
told,18
pancakes,20
dry,6
kids,9
items,17
credit,14
brought,10
recommend,10
tell,10
sitting,7
wrong,7
bread,13
meat,11
potatoes,14
meal,24
mean,6
free,6
greasy,7
ate,11
isn,7
wasn,25
thick,7
service,58
top,15
seated,15
don,46
definitely,6
saying,11
overpriced,6
toast,12
nservice,6
menu,31
plate,8
bad,15
grilled,18
steak,19
decided,6
kitchen,6
beef,11
split,12
kept,10
options,6
left,15
yes,6
people,25
ice,7
happy,7
inside,6
check,33
time,47
manager,7
finally,18
vegas,11
beignets,11
guy,9
cost,6
drinks,8
water,16
wait,34
boy,6
love,12
visit,7
downtown,21
reviews,17
soup,22
bites,6
heard,9
sunday,6
spot,6
maybe,19
serving,7
cold,12
amazing,10
lunch,33
half,12
nor,6
name,8
didn,46
sandwich,27
girl,6
looking,14
seriously,7
card,20
care,8
couldn,12
waiter,18
waited,16
cheese,24
little,14
checked,8
friend,23
cards,6
tasted,12
sad,6
breakfast,50
sat,11
note,9
price,6
paid,6
especially,6
average,9
corned,8
morning,8
husband,19
seat,9
parking,8
review,16
comes,7
coffee,29
trip,6
rest,6
flavor,13
read,8
disappointed,14
server,45
served,14
nice,16
business,8
nmy,7
industry,7
gary,8
start,10
lot,11
trying,7
taste,15
dish,10
paying,7
returning,7
tea,14
hash,10
experience,24
amount,7
hour,9
huge,6
okay,15
tried,12
rude,15
coming,7
deviled,8
egg,24
bowl,8
sauce,14
return,6
food,107
delicious,7
house,6
hard,10
reason,7
feel,7
bland,6
benedict,14
syrup,7
sandwiches,6
eggs,42
extremely,7
fine,8
pretty,12
please,6
won,12
probably,14
restaurant,25
barely,6
crispy,8
else,9
prices,6
look,11
hostess,12
juice,9
bill,9
arrived,7
person,7
tables,7
customers,7
bit,12
eating,10
servers,9
line,6
fried,28
doesn,8
walked,11
cooked,8
fresh,6
friendly,15
telling,6
try,14
waiting,13
busy,16
pancake,13
customer,21
salad,19
shrimp,27
sit,7
vibe,7
instead,8
stop,6
tomato,18
day,11
parties,9
special,10
twice,8
grits,28
completely,7
times,13
waitress,17
owner,9
stars,8
loved,6
bother,6
looked,10
bring,9
chicken,34
staff,22
local,9
chips,9
biegnets,9
horrible,7
taking,7
table,49
decent,8
brunch,17
slammed,7
party,14
drink,12
immediately,9
home,9
eat,65
empty,7
minutes,23
star,8
friends,8
yelp,8
