words,count
enjoy,7
street,14
nthe,6
fajitas,12
fantastic,9
highly,10
music,9
recommend,19
excellent,19
bartender,6
times,8
yum,6
salsa,15
meal,13
wasn,6
service,64
top,16
don,16
definitely,34
tequila,56
enjoyed,10
busy,6
menu,26
rice,8
bar,18
shots,14
steak,9
thanks,8
josh,6
night,12
deal,11
corn,7
super,22
dinner,9
happy,34
inside,7
check,13
time,35
manager,7
mercadito,8
yummy,7
vegan,12
tacos,92
vegas,9
margarita,16
drinks,30
wait,6
love,26
visit,8
ceviche,16
awesome,18
spot,8
thank,6
amazing,45
rock,14
care,10
waiter,6
little,13
friend,6
sat,7
professional,7
outside,11
attentive,19
burrito,7
outdoor,9
server,46
nice,17
seating,8
favorite,12
fritters,6
spicy,6
tasty,7
asada,8
experience,19
options,7
guacamole,18
glad,7
hour,22
coming,15
patio,16
mexican,28
soon,6
food,89
delicious,31
house,11
guac,9
feel,6
carne,10
tuesdays,7
restaurants,6
wow,6
restaurant,24
liked,6
fun,18
unlimited,9
absolutely,8
evening,6
fresh,11
friendly,23
try,23
casino,7
shrimp,17
sit,6
taco,27
perfect,11
day,7
ambiance,9
special,6
red,13
margaritas,41
loved,10
xavier,29
atmosphere,20
chicken,18
staff,20
libre,33
overall,9
chips,12
joe,24
tuesday,35
table,9
summerlin,6
drink,24
eat,34
friends,15
