words,count
enjoy,6
nthe,41
und,15
smoke,15
guests,9
recommend,7
amazing,8
gamble,9
las,39
heavenly,14
little,10
free,30
isn,8
wasn,10
service,23
gym,6
distance,9
shower,8
mind,7
don,14
definitely,16
enjoyed,7
bar,11
bad,6
decided,8
near,6
couple,6
yes,10
easy,9
night,20
people,23
buffet,7
super,12
plus,6
trip,7
floor,16
smell,9
weekend,10
nthis,8
beds,17
time,33
vegas,98
minute,6
drinks,8
water,8
usually,6
love,21
hotels,25
reviews,13
crazy,7
awesome,11
spa,12
spg,10
staying,11
name,8
didn,18
looking,6
auch,10
checked,6
happy,21
breakfast,6
price,11
professional,6
walking,14
husband,10
parking,15
review,9
quiet,18
accommodating,9
coffee,6
middle,6
property,6
check,21
westin,73
strip,98
lol,6
lot,6
gambling,6
pool,23
wifi,6
tea,7
hours,6
experience,15
hour,22
der,9
dem,6
beautiful,7
huge,9
stayed,24
short,8
crowded,6
actually,10
late,8
resort,8
food,14
starbucks,18
die,12
feel,12
craps,6
comfy,12
wonderful,7
hotel,146
nights,6
play,6
extremely,6
clean,42
fine,6
pretty,8
close,15
wow,6
restaurant,16
suede,7
reasons,6
flight,6
look,7
location,24
block,9
called,7
doesn,10
nice,61
walked,6
friendly,24
business,6
casino,48
wir,6
fee,9
customer,7
perfect,11
das,9
front,10
day,8
special,6
stars,20
loved,9
bed,24
comfortable,14
mit,6
staff,34
overall,10
view,8
walk,33
spacious,7
lobby,14
desk,12
flamingo,6
helpful,10
minutes,7
stay,54
