words,count
worth,6
nwe,13
convenience,6
casinos,9
nthe,30
told,13
kids,13
smoke,8
call,8
recommend,8
travel,7
hot,8
pizza,8
las,17
workout,7
little,29
free,17
isn,7
wasn,19
service,17
gym,8
distance,10
shower,9
mind,6
doors,6
plenty,6
don,22
spend,8
overpriced,7
bar,20
bad,10
check,27
kitchen,28
bathroom,11
property,12
deal,23
left,12
yes,6
night,26
people,22
offer,10
hear,7
trip,8
looked,6
floor,12
smell,7
weekend,6
time,53
manager,6
vegas,62
leave,6
guy,7
drinks,6
market,9
hotels,12
cab,13
concierge,7
ping,6
plus,6
staying,18
pitch,9
spacious,7
main,9
didn,24
living,7
space,6
looking,16
size,8
checked,6
stratosphere,8
especially,7
walking,10
parking,26
review,6
outside,7
quiet,7
timeshare,28
vacation,9
situation,6
coffee,6
pay,12
taxi,12
money,10
real,6
fridge,6
low,6
stars,6
trying,7
downstairs,12
pull,8
sales,18
pool,46
booked,7
children,8
presentation,25
washer,7
rate,9
pass,7
hours,10
experience,6
action,11
options,7
family,19
amenities,8
door,20
hour,9
share,15
pong,6
huge,7
stayed,17
short,8
crowded,6
actually,14
late,6
resort,12
food,13
walls,6
found,9
hard,7
expect,7
feel,10
guess,8
store,8
hotel,111
believe,6
nights,8
self,10
clean,24
fine,11
pretty,26
cheaper,6
set,8
won,6
restaurant,18
finally,6
grand,8
location,16
bit,8
line,8
called,9
doesn,7
definitely,9
nice,72
suite,24
friendly,11
car,19
valet,16
casino,32
hilton,49
sit,9
located,17
day,27
strip,81
lot,11
bed,19
comfortable,12
able,6
bedroom,11
staff,16
overall,14
stuff,6
view,7
closer,6
key,7
etc,9
walk,15
decent,13
site,8
lobby,6
dryer,6
desk,11
suites,7
noise,10
getting,12
own,6
north,8
bus,11
minutes,14
marketplace,6
circus,24
star,11
stay,56
