words,count
friendly,26
appointment,9
vegas,9
colors,13
try,9
japanese,7
nail,55
design,9
pedi,19
drinks,6
wait,9
experience,11
love,27
highly,8
visit,6
recommend,17
awesome,7
excellent,6
customer,9
beautiful,7
snacks,14
amazing,18
coming,10
cute,10
salon,37
perfect,11
thank,8
manicure,11
didn,10
found,11
girl,7
little,6
miley,12
david,10
feel,8
service,22
wonderful,9
loved,10
comfortable,8
regular,8
pedicure,22
definitely,21
tech,6
clean,37
shop,11
selection,10
staff,21
busy,6
gel,39
decided,10
job,26
lash,18
mani,21
color,7
groupon,17
pop,17
look,14
salons,6
kayo,16
polish,13
deal,7
absolutely,6
friend,7
nails,68
super,17
getting,9
complimentary,6
lashes,12
doing,6
happy,10
offer,7
technician,6
walked,8
nice,13
time,30
