words,count
dance,12
worth,6
vegas,15
fan,14
ticket,8
tickets,7
school,6
enjoy,8
nthe,9
technical,6
love,28
beetles,6
live,7
music,39
story,6
acrobatic,8
huge,8
soleil,27
amazing,6
wrong,6
worst,12
production,9
stunts,6
didn,12
mystere,14
cirque,61
times,6
wasn,6
boring,18
seen,22
dancing,21
performance,13
play,6
don,14
watch,9
beatles,50
watching,8
bad,7
art,6
horrible,10
save,8
waste,16
shame,6
running,6
money,25
acrobatics,16
disappointed,11
audience,9
night,6
people,23
costumes,7
stage,10
minutes,6
time,11
songs,6
