words,count
tickets,13
nthe,16
machines,8
told,9
kids,32
pizza,6
gaming,6
wasn,11
service,18
don,20
bar,16
bad,12
decided,7
games,92
dave,9
weren,6
game,42
left,6
people,12
son,6
offer,6
time,30
manager,15
bartender,6
cool,11
wait,7
birthday,6
maybe,6
half,13
square,8
tried,7
space,8
card,24
couldn,7
little,12
cards,12
shot,8
events,6
money,13
server,8
lot,15
ticket,6
hours,7
experience,8
family,7
town,8
hour,13
playing,11
food,25
feel,7
drinks,6
play,46
pretty,11
restaurant,8
busters,7
bill,8
fun,11
person,6
disappointed,7
parents,8
location,21
arcade,15
doesn,8
walked,8
waiting,7
credits,8
prizes,9
gameworks,33
looks,8
day,9
strip,9
waitress,6
staff,9
table,7
decent,6
drink,12
didn,23
getting,6
minutes,8
star,7
friends,7
