words,count
nthe,19
excellent,6
green,6
reasonable,7
little,16
takeout,6
delicious,14
wasn,11
service,23
tom,13
don,11
definitely,14
enjoyed,6
menu,10
rice,25
noodles,7
beef,14
basil,18
nit,6
people,7
super,6
dinner,9
curry,41
portions,7
surang,26
roll,6
time,18
vegas,7
specials,9
quick,6
pork,18
usually,8
love,13
soup,23
spot,6
maybe,6
hot,15
lunch,30
yum,6
thai,95
shrimp,7
dining,10
archi,8
ground,7
pad,40
flavor,6
sticky,8
server,9
served,6
spicy,34
spice,11
taste,7
tasty,7
dish,11
tea,11
family,6
town,6
tried,9
coming,9
egg,6
sauce,14
food,61
level,17
pretty,10
restaurants,6
close,7
restaurant,27
eggplant,6
sweet,6
crispy,16
prices,9
bit,11
tofu,6
fried,16
nice,18
cooked,8
fresh,7
friendly,19
try,17
crab,7
salad,6
panang,7
special,9
stars,6
dishes,20
chicken,36
staff,7
day,9
didn,14
home,7
delivery,10
eat,10
yelp,6
portion,7
