words,count
peanut,17
finally,6
worth,10
customer,6
brownie,6
vegas,26
decide,6
eating,11
wait,13
usually,6
love,34
chunks,6
flavors,68
creamy,16
recommend,7
blueberry,10
chocolate,43
pecan,23
town,8
friendly,14
salted,7
chip,8
huge,7
sit,6
amazing,16
tried,17
spot,6
wrong,7
birthday,6
coming,7
scoop,30
typical,6
dough,10
hot,8
window,17
choose,11
hands,7
day,8
didn,9
house,10
try,30
scoops,14
cookie,7
delicious,20
little,14
service,19
station,17
banana,18
homemade,12
youngstown,10
tasted,7
cheesecake,15
don,19
windows,7
definitely,9
shop,8
staff,12
haven,7
rich,8
batter,6
caramel,12
ohio,8
husband,6
outside,15
sweet,7
tuesday,18
walk,17
tons,9
las,8
life,7
else,6
prices,7
vanilla,8
cracker,6
buckeye,11
butter,28
summer,6
flavor,37
location,6
sampler,33
real,6
awesome,8
seating,7
deal,10
people,8
handels,6
home,17
ice,195
truffle,10
super,11
oreo,6
central,16
benches,6
favorite,29
pistachio,6
marshmallow,7
lot,6
line,15
eat,12
strawberry,10
cake,12
taste,16
pie,23
cobbler,9
graham,25
cream,211
handel,30
variety,6
nice,8
time,14
fresh,13
