words,count
monte,7
nwe,7
tickets,22
venue,11
enjoy,8
nthe,22
weren,6
kids,12
music,35
recommend,8
tell,9
amazing,10
hop,14
expectations,8
crew,20
break,7
routines,6
little,19
free,7
loud,10
wasn,16
seen,15
blue,6
don,21
entertaining,12
enjoyed,9
watch,11
bad,8
left,7
performing,7
night,9
people,19
guess,10
humor,8
participation,8
discount,8
super,13
crowd,14
head,6
check,7
time,26
songs,6
dance,50
row,18
vegas,31
cool,10
slow,9
love,19
skits,9
live,8
watching,12
abdc,25
guys,17
maybe,12
didn,15
looking,9
white,6
performance,11
theatre,6
price,10
paid,7
america,6
seat,10
wonder,6
pop,6
movements,6
theater,9
choreography,11
money,9
dancers,16
disappointed,10
audience,46
seating,13
start,8
expect,6
watched,7
moves,26
prism,7
mask,6
original,10
sitting,7
fan,13
ticket,10
family,6
glad,6
hour,6
middle,7
style,6
actually,6
energy,13
hard,6
beginning,6
expecting,8
feel,9
story,14
cirque,7
dancing,59
performances,6
storyline,8
noverall,7
pretty,26
hip,15
close,10
dancer,6
fun,11
funny,8
person,6
excited,10
bit,22
towards,6
seeing,12
rows,6
definitely,9
entire,7
carlo,6
started,8
sit,7
comedy,10
jabbawockeez,45
front,15
interaction,12
times,14
lot,23
loved,18
selection,7
overall,14
view,9
moments,7
seats,29
stage,42
expected,9
wish,6
minutes,13
