words,count
nwe,14
bacon,7
told,23
brought,22
call,8
recommend,9
hot,6
pizza,44
wrong,15
meal,14
mean,7
free,8
ate,7
days,7
lettuce,7
wasn,14
service,67
guinness,6
seated,21
nthe,13
mins,8
don,19
saying,6
busy,10
menu,18
plate,9
appetizer,15
bar,21
twice,9
bad,31
steak,6
decided,8
received,6
beer,18
plates,11
couple,9
game,8
left,21
pizookie,14
night,17
deal,6
people,12
dinner,12
son,7
happy,10
tell,15
check,18
tip,6
pizzas,10
time,57
silverware,9
manager,62
finally,32
guy,10
eating,15
drinks,33
water,11
wait,21
love,7
soup,6
dropped,6
birthday,9
cold,20
appetizers,9
happened,7
lunch,9
half,8
name,10
looking,6
seriously,10
card,6
care,6
waiter,32
waited,28
cheese,7
tasted,7
sat,13
forever,11
husband,15
review,11
comes,10
pay,8
money,7
disappointed,8
server,67
served,13
business,10
bjs,7
trying,7
deep,10
wife,11
dish,16
sitting,7
worst,15
burger,23
apologized,10
hours,9
experience,27
family,8
hour,16
tried,9
rude,9
trevor,7
help,10
actually,10
late,6
sauce,11
food,91
terrible,11
extremely,6
pretty,7
won,6
missing,7
restaurant,30
else,15
hostess,14
bill,14
arrived,17
person,8
tables,6
location,23
delivered,7
servers,8
fries,14
called,12
nice,12
walked,11
sent,6
dessert,10
telling,6
waiting,14
app,15
customer,15
salad,14
onions,8
instead,8
front,6
day,8
completely,7
times,11
waitress,16
management,6
looked,8
bring,9
chicken,13
staff,8
employee,6
chips,7
horrible,14
job,8
taking,6
table,52
finished,6
tomatoes,11
drink,12
didn,45
home,8
getting,10
own,6
eat,24
minutes,69
