words,count
nwe,8
enjoy,9
nthe,17
dry,7
fantastic,8
highly,9
recommend,21
tell,6
warm,8
excellent,21
times,8
amazing,37
las,8
bread,14
meat,14
reasonable,11
meal,16
kibbeh,6
free,9
ate,8
soda,9
tzatziki,21
wasn,8
service,76
top,10
flavorful,14
lula,12
don,9
definitely,53
enjoyed,14
menu,17
rice,31
plate,58
stop,7
grilled,10
decided,6
hummus,31
pita,23
beef,70
east,6
employees,10
plates,7
greeted,12
garlic,20
shawarma,110
people,13
super,21
dinner,12
wrap,30
happy,9
portions,6
time,37
finally,7
vegas,22
little,15
baklava,19
wait,12
love,26
extra,8
shwarma,8
visit,7
live,7
cashier,6
reviews,10
soup,15
awesome,22
overall,6
spot,10
thank,8
hot,7
kabobs,8
lunch,17
didn,12
yummy,8
looking,7
george,6
size,7
kabob,21
tasted,11
price,14
gyro,10
husband,13
review,6
affordable,8
armenian,21
middle,10
week,7
flavor,16
served,10
pickled,7
favorite,9
lol,8
spicy,11
taste,12
tasty,19
wife,10
woman,6
experience,11
amount,9
family,12
glad,7
town,13
chops,12
tried,21
coming,12
authentic,9
soon,6
sauce,31
food,180
stopped,6
found,16
house,24
juicy,6
moist,6
eaten,7
extremely,12
clean,25
tender,10
visiting,6
wow,7
restaurant,29
prices,18
ready,8
delicious,77
location,6
couple,9
bit,8
absolutely,11
falafel,14
delivered,6
eating,15
fast,21
fries,22
nice,42
mantee,6
walked,6
cooked,14
fresh,36
friendly,59
try,48
mediterranean,39
customer,21
salad,37
wonderful,7
lamb,33
tomato,8
counter,9
perfect,11
day,11
lentil,10
craving,6
owner,10
quality,8
perfectly,10
lot,12
loved,12
dishes,6
chicken,85
staff,46
combo,8
deliver,10
seasoned,13
welcoming,6
drink,8
helpful,9
home,10
rare,6
own,6
delivery,21
eat,18
yelp,8
minutes,6
friends,8
portion,8
