words,count
asian,6
worth,17
clientele,6
enjoy,8
nthe,25
told,9
dry,20
kids,20
items,9
employees,8
golden,34
type,6
foods,7
machine,12
pizza,7
las,8
expectations,9
bread,8
meat,10
potatoes,9
roast,8
forgot,6
nif,6
little,17
ate,9
isn,13
soda,10
lettuce,7
wasn,30
service,31
spinach,6
serve,12
seated,12
seen,6
don,37
definitely,10
rice,9
plate,18
bar,25
bad,29
steak,37
decided,13
refill,9
buffets,20
plates,16
night,12
people,63
ice,23
corn,6
paid,8
super,13
dinner,22
plus,6
cafeteria,6
medium,8
inside,9
average,10
door,16
floor,6
time,50
manager,7
finally,12
vegas,21
cook,6
quick,8
pork,6
steaks,18
run,8
drinks,17
wait,42
extra,7
visit,6
cashier,11
chocolate,43
reviews,7
heard,8
times,10
maybe,12
lunch,19
didn,33
looking,11
couldn,8
waiter,7
waited,11
cheese,8
tasted,20
locations,7
begin,6
price,35
buffet,72
hungry,6
rating,6
cheap,23
parking,8
review,8
outside,9
pot,8
nit,6
mediocre,9
pay,12
running,8
fruit,6
flavor,12
real,8
disappointed,13
server,9
seating,6
favorite,7
shrimp,15
mean,7
stars,16
dirty,17
taste,18
cream,27
alright,7
chinese,6
children,7
returning,7
fat,6
cookies,9
stood,7
section,8
experience,9
family,10
town,7
grill,8
hour,6
waiters,6
salty,8
okay,17
tried,10
rude,8
coming,20
crowded,17
soon,6
hell,6
food,170
hard,10
expect,6
fountain,27
friday,8
reason,6
feel,8
bland,7
guess,13
station,12
stale,6
extremely,6
clean,16
pretty,26
hype,6
wow,6
please,6
won,7
probably,11
refills,7
restaurant,23
liked,8
sweet,12
else,12
understand,7
look,11
disappointing,7
person,13
tables,13
cut,8
location,16
customers,6
bit,10
wings,7
eating,16
seeing,7
hometown,23
line,78
fried,29
doesn,6
single,6
cotton,25
nice,22
gross,7
cooked,8
fresh,17
desserts,8
friendly,9
dessert,20
try,22
waiting,14
busy,12
popcorn,6
rare,12
salad,34
sit,8
instead,10
lines,20
corral,34
honestly,6
orange,6
mention,6
front,11
special,11
quality,21
lot,20
dishes,7
looked,8
selection,15
chicken,39
staff,11
trying,9
overall,7
stuff,6
packed,7
horrible,11
etc,11
table,23
decent,7
party,9
drink,32
candy,25
soft,7
home,8
meatloaf,6
own,6
strawberries,9
eat,20
cake,6
piece,9
minutes,16
variety,11
star,9
