words,count
friendly,6
vegas,7
nthe,15
drinks,6
lights,6
kids,9
casino,8
family,10
private,13
vip,10
balls,12
awesome,6
playing,6
food,15
rock,30
try,6
red,23
cosmic,10
times,7
alleys,12
little,11
pro,7
modern,6
alley,26
play,7
price,6
don,8
especially,7
definitely,10
clean,18
shop,7
shoe,6
pretty,9
bar,22
games,9
lanes,60
prices,8
fun,21
bowl,23
party,9
ball,7
tables,10
game,13
night,14
people,8
bowling,100
host,6
super,8
shoes,10
own,6
bowlers,7
arcade,6
music,17
fries,7
videos,9
nice,13
pool,8
lane,15
time,17
