words,count
friendly,21
town,8
vegas,12
try,19
mediterranean,30
chickpeas,9
ground,9
wait,6
love,11
family,10
recommend,10
excellent,14
customer,6
salad,21
worth,6
huge,7
amazing,21
pizza,7
coming,6
sauce,8
food,89
lunch,11
reasonable,9
meal,10
house,8
persian,9
ate,6
cucumber,7
delicious,30
owner,11
quality,8
little,6
service,29
wonderful,6
kabob,12
flavorful,6
price,12
don,7
definitely,11
clean,20
atmosphere,7
chicken,26
staff,15
menu,9
rice,12
plate,14
restaurants,6
restaurant,13
hummus,7
comes,7
beef,16
prices,13
generous,6
meat,6
shawarma,14
dinner,7
people,9
eat,7
portions,18
wish,6
tasty,6
cafe,6
nice,17
cooked,7
portion,8
time,11
fresh,21
