words,count
nwe,6
street,6
nthe,10
told,26
fajitas,6
brought,10
recommend,7
tell,7
bartender,8
times,14
returning,7
wrong,8
salsa,12
meal,16
little,9
greasy,6
wasn,10
service,50
top,9
seated,15
don,19
menu,16
plate,6
bar,7
bad,19
received,6
refill,6
beer,7
left,11
night,10
people,17
dinner,10
mole,6
glass,7
time,42
manager,16
chair,9
finally,21
tacos,15
minute,6
margarita,10
sign,9
eating,10
drinks,15
water,8
wait,30
reviews,14
maybe,6
cold,16
lunch,6
didn,18
looking,6
card,7
waiter,13
waited,16
tasted,8
sat,7
multiple,6
husband,17
comes,6
check,18
burrito,10
charged,7
server,8
business,6
taste,7
asada,7
sitting,6
worst,15
experience,20
hour,14
sucks,8
tried,7
mexican,30
leticia,12
sauce,8
food,113
fish,9
hard,6
terrible,10
eaten,6
carne,7
pretty,8
close,6
restaurant,32
empty,7
priced,11
prices,7
hostess,7
bill,7
ready,7
arrived,6
person,7
tables,14
disappointed,8
customers,9
beans,11
nice,9
meals,7
walked,8
try,11
waiting,14
busy,13
customer,9
shrimp,7
taco,7
day,8
waitress,18
quality,6
tonight,6
min,7
son,6
chicken,7
staff,12
won,6
chips,18
closed,6
horrible,9
table,29
party,10
drink,12
home,7
eat,17
minutes,35
friends,6
