words,count
asian,25
nthe,21
pate,13
dry,6
items,7
meats,6
tell,6
veggies,7
drive,8
amazing,7
croissant,13
avocado,6
coffee,72
combination,15
banh,54
bread,57
meat,28
crunchy,7
filling,11
little,29
free,16
atm,6
isn,9
soda,7
service,12
top,6
convenient,6
plenty,7
don,30
busy,12
menu,12
sugar,7
stop,16
bad,10
grilled,16
yogurt,10
packaged,6
san,8
smoothies,10
jose,6
easy,6
night,19
deal,8
people,14
ice,27
super,9
bahn,19
happy,6
offer,8
inside,19
check,6
baguette,24
smell,6
nthis,7
time,35
chain,8
yummy,7
vegas,38
quick,10
pork,50
eating,9
drinks,8
french,13
snack,8
wait,12
usually,17
love,31
extra,8
visit,7
cashier,6
reviews,8
awesome,8
spot,7
maybe,6
smoothie,8
buns,10
lunch,11
didn,14
looking,8
california,7
card,7
cheese,12
fast,15
size,7
boba,23
thai,7
coconut,6
tasted,8
locations,7
breakfast,9
dining,7
price,13
especially,7
shop,9
nthey,8
cheap,14
morning,8
parking,7
review,7
outside,7
chinatown,17
cash,12
week,9
totally,6
steamed,8
flavor,6
seating,6
favorite,10
stars,9
trying,7
taste,15
tasty,13
wifi,6
fan,10
tea,9
sub,8
hours,24
strong,12
experience,9
amount,15
pick,6
options,9
town,8
huge,14
sandwich,88
tried,12
coming,8
egg,19
help,6
style,11
actually,9
late,17
food,49
delicious,27
house,7
hard,13
feel,8
baguettes,16
sandwiches,123
clean,26
pretty,16
restaurants,6
won,6
probably,10
available,10
restaurant,10
sweet,12
simply,7
crispy,7
mind,7
prices,14
frozen,9
location,16
bit,14
spring,9
rolls,17
line,10
doesn,9
home,16
definitely,11
nice,19
fresh,48
vietnamese,40
friendly,12
try,22
lee,102
iced,24
customer,6
snacks,10
perfect,12
day,19
special,11
craving,6
times,8
quality,10
lot,16
selection,6
chicken,17
staff,9
combo,14
overall,8
grab,6
viet,11
decent,13
bbq,23
pho,6
drink,18
add,6
soft,11
italian,6
hot,6
noticed,6
buy,13
bun,8
eat,15
minutes,7
star,7
sandwhich,6
friends,8
understand,9
baked,15
