words,count
nwe,18
worth,12
nfor,7
porterhouse,9
enjoy,10
bacon,7
nthe,46
told,7
wagyu,8
dry,11
music,7
recommend,8
evening,7
glass,10
warm,13
excellent,22
hot,6
las,7
oysters,6
wine,47
avocado,8
expectations,10
bread,12
meat,18
potatoes,27
meal,21
bone,32
george,12
little,25
free,10
standard,7
isn,11
wasn,30
service,73
spinach,15
top,10
seated,11
modern,7
don,19
definitely,12
overpriced,6
enjoyed,17
menu,26
plate,9
appetizer,11
bar,18
bad,24
grilled,10
steak,126
decided,9
expected,9
tuna,9
butter,8
jean,40
night,22
people,10
ice,10
corn,8
super,7
dinner,34
soy,6
medium,30
inside,9
seafood,6
sprouts,8
mediocre,6
check,9
vegas,41
quick,7
steaks,27
drinks,10
tartare,7
shared,8
wait,6
love,7
australian,6
chocolate,17
staying,7
mac,13
birthday,8
remember,7
maybe,8
course,22
appetizers,9
amazing,13
main,7
half,7
didn,35
salads,6
looking,7
care,7
waiter,33
cheese,19
mignon,13
tasted,8
sat,9
dining,19
price,30
especially,11
average,18
slow,6
prime,10
husband,7
attentive,12
paying,7
pay,7
bottle,9
noverall,11
money,9
flavor,21
dark,9
disappointed,14
server,24
served,15
lobster,25
shrimp,9
strip,20
stars,33
trying,6
taste,23
tasty,13
time,41
mash,7
dish,21
list,7
steakhouse,29
experience,32
eye,17
basically,6
none,7
beautiful,10
salty,12
huge,8
okay,13
tried,6
short,6
actually,7
late,8
sauce,27
wouldn,7
food,87
courses,6
found,7
delicious,19
house,15
fish,13
hard,10
expect,7
bass,16
expecting,8
miso,16
dine,6
bland,12
wonderful,7
hotel,6
caesar,8
extremely,9
fine,8
pretty,26
restaurants,17
sea,16
tender,9
wow,11
probably,14
restaurant,55
sweet,9
expensive,9
empty,6
else,7
pricey,7
prices,12
hostess,9
bill,12
rib,17
decor,20
arrived,15
cut,14
bit,31
sauces,35
mashed,22
servers,11
impressed,10
tasting,17
filet,31
fries,6
nice,47
prepared,8
reservation,13
cooked,27
fresh,6
aria,25
friendly,10
waiters,6
dessert,18
try,22
nfood,7
yuzu,8
apple,7
crab,6
started,10
rare,18
salad,18
instead,7
establishment,6
marrow,25
tomato,6
bunch,6
perfect,12
day,6
ambiance,15
special,18
red,7
york,9
times,12
waitress,8
quality,20
perfectly,12
lot,8
dishes,13
looked,6
atmosphere,9
staff,12
creamed,6
overall,11
perfection,6
gras,9
job,6
etc,6
table,33
decent,18
seasoned,8
party,10
cream,13
drink,7
add,6
five,7
georges,29
home,7
truffle,26
own,7
mushrooms,16
foie,11
eat,11
cake,19
piece,7
minutes,12
pie,7
star,8
kinda,6
friends,12
portion,13
