words,count
nwe,28
worth,16
nfor,10
enjoy,16
consistent,6
bacon,11
chef,7
elegant,10
nthe,60
blue,6
meals,6
items,10
changes,6
fantastic,26
highly,15
brought,17
guests,6
recommend,30
glass,14
warm,8
excellent,34
bartender,10
movies,19
honey,6
sitting,6
las,28
interior,6
green,7
wine,64
office,24
hidden,29
bread,65
meat,22
potatoes,9
won,7
ate,9
arrived,6
wasn,16
service,129
top,23
girls,8
serve,7
ngreat,7
brulee,9
seated,14
fabulous,15
modern,10
flavorful,9
thoroughly,6
regular,6
mouth,10
plenty,8
don,28
definitely,34
enjoyed,15
busy,11
menu,59
plate,20
stop,7
wedding,8
bar,34
pretzel,9
grilled,9
steak,31
decided,8
lots,9
hummus,13
beef,20
beet,9
lovely,15
location,18
broth,7
upscale,13
complex,11
split,6
plates,6
pick,6
nif,6
butter,21
left,13
yes,8
board,7
easy,10
background,6
unique,7
night,55
meats,14
people,14
corn,10
super,9
dinner,78
flatbread,11
music,13
happy,15
medium,7
offer,6
portions,11
inside,18
blueberry,11
classic,8
nthis,10
time,77
manager,7
yummy,19
couscous,7
choice,12
vegas,51
cool,9
die,14
pecorino,6
quick,6
guy,6
dried,6
chicken,35
drinks,36
shared,10
filled,6
wait,21
vintner,70
usually,11
entrees,16
love,76
flavors,6
visit,18
creamy,6
live,10
chocolate,14
olive,12
reviews,8
soup,11
awesome,32
chic,6
lounge,6
cocktail,11
spot,21
mac,14
birthday,15
date,29
remember,11
curry,11
nour,6
course,27
thank,9
appetizers,15
amazing,93
offers,6
main,14
tucked,11
lunch,46
half,15
rock,6
salads,9
space,6
looking,20
octopus,6
aioli,6
care,6
chose,10
couldn,8
selections,6
waiter,28
yum,8
charleston,6
cheese,123
little,38
stuffed,6
white,50
friend,19
boyfriend,9
tasted,6
bolognese,12
sat,17
dining,40
cheesecake,16
summerlin,29
especially,15
seafood,8
professional,8
nthey,7
calamari,23
slow,6
outside,19
black,23
pumpkin,6
truly,6
gem,20
seared,10
husband,22
cocktails,23
parking,6
review,11
comes,10
ravioli,10
attentive,18
coffee,8
quiet,6
ribeye,7
check,10
pan,9
oil,8
favorites,7
veal,10
outdoor,22
touch,6
flavor,14
real,9
world,11
disappointed,10
patrick,9
server,32
served,21
nice,58
seating,20
lobster,10
nmy,8
favorite,53
meal,23
clams,8
strip,38
start,13
stars,10
romantic,18
taste,12
tasty,17
girlfriend,8
cream,6
pear,7
building,9
wife,15
forget,6
dish,39
presentation,6
fall,6
list,16
prosciutto,10
cheeses,16
anniversary,12
scallops,33
experience,44
options,6
family,10
gorgeous,7
flat,9
town,14
grill,67
hour,7
beautiful,40
share,6
huge,7
goat,10
tried,14
vegan,6
coming,8
halibut,22
breads,12
playing,12
patio,39
soon,6
brie,8
style,6
actually,11
sauce,18
return,9
food,178
impressive,6
found,8
exquisite,6
delicious,72
house,11
fish,14
hard,19
beyond,6
tiramisu,16
bass,9
friday,7
charcuterie,7
dine,7
feel,23
valentine,6
wonderful,28
park,17
outstanding,13
moist,6
caesar,6
play,9
salmon,15
eaten,8
clean,7
notch,12
pretty,13
recommendations,8
restaurants,17
bouillabaisse,10
set,8
sea,9
tender,12
close,7
wow,12
please,6
restaurant,105
cakes,15
simple,6
sweet,15
simply,9
expensive,7
empty,7
fire,10
else,8
pricey,10
look,10
hostess,6
fun,9
decor,49
vitner,7
assortment,8
roasted,8
surprised,7
bit,19
helpful,6
absolutely,25
eating,6
nso,7
impressed,10
forward,9
called,7
evening,16
lemon,26
tart,6
prepared,13
reservation,23
cooked,28
fresh,25
desserts,12
culinary,7
ambience,12
friendly,14
dessert,40
asparagus,6
try,40
business,24
fine,8
nfood,6
valet,7
nservice,9
didn,9
spiced,6
opinion,8
makes,12
crab,27
rich,8
started,20
impress,6
salad,54
lamb,38
sit,7
located,7
instead,6
entree,14
appetizer,19
light,11
classy,18
martini,13
perfect,55
tenderloin,13
day,17
risotto,16
delightful,8
tray,8
ambiance,40
special,36
red,8
completely,7
times,30
conversation,6
waitress,6
quality,14
perfectly,21
lot,11
loved,27
comfortable,10
dishes,16
basket,8
refreshing,6
looked,8
occasion,12
atmosphere,64
selection,40
bring,10
staff,28
local,12
exceptional,10
overall,8
bean,9
perfection,14
superb,7
job,8
etc,6
wall,7
walk,10
table,30
treat,8
couple,10
wild,7
party,13
drink,19
center,7
soft,8
home,12
truffle,9
pasta,14
cranberry,10
weather,7
eat,16
wish,13
cake,12
reservations,9
pit,6
incredible,8
dressed,6
star,13
priced,6
friends,31
portion,7
