words,count
yellow,8
nwe,12
asian,6
worth,6
enjoy,14
consistent,9
nthe,29
told,10
kids,7
recommend,13
warm,6
excellent,10
veggies,7
times,20
hot,20
las,15
green,13
meat,7
reasonable,9
forgot,7
little,35
ate,6
isn,6
wasn,11
service,63
top,9
tom,17
mind,6
don,25
definitely,26
pineapple,13
menu,22
rice,48
appetizer,6
bad,11
noodles,13
lots,7
quickly,7
basil,25
broth,9
papaya,17
night,6
deal,7
people,11
ice,9
super,8
dinner,12
curry,74
medium,9
heat,7
portions,12
sticky,6
kha,9
roll,8
time,61
milk,6
yummy,8
finally,8
vegas,24
level,28
specials,15
pork,7
chicken,75
drinks,6
water,9
wait,20
usually,20
love,42
visit,8
sour,6
awesome,7
spot,13
mao,8
maybe,6
appetizers,6
amazing,13
lunch,52
didn,13
spiciness,9
looking,9
yum,10
stuffed,6
friend,9
thai,238
coconut,12
locations,9
price,10
archi,78
husband,14
comes,12
attentive,8
sprouts,7
pay,6
check,10
pad,98
flavor,17
refills,6
real,7
server,7
served,8
favorite,29
shrimp,27
lot,14
spicy,72
trying,10
spice,26
taste,7
tasty,12
chinese,7
dish,29
fan,10
tea,17
experience,7
amount,9
pick,9
door,8
town,18
hour,6
huge,10
tried,17
coming,7
authentic,9
egg,11
peanuts,9
sauce,13
food,170
found,6
delicious,35
house,7
hard,6
leave,6
reason,13
feel,11
believe,6
clean,14
pretty,26
hit,8
restaurants,29
movie,14
won,7
meal,10
restaurant,48
sweet,10
flavorful,7
prices,16
solid,12
cuisine,6
decor,9
location,25
couple,6
bit,11
spring,10
scale,9
eating,12
tofu,9
servers,6
rolls,11
fried,36
doesn,6
cafe,7
nice,25
fresh,15
friendly,17
dessert,6
try,39
soup,46
consistently,9
busy,16
iced,7
started,9
salad,37
perfect,6
day,12
panang,14
ambiance,6
special,16
red,21
waitress,12
quality,16
start,7
stars,10
loved,9
dishes,33
looked,6
son,6
atmosphere,11
staff,12
overall,6
bean,6
kee,7
decent,7
archie,9
eggplant,8
home,13
beef,30
curries,10
eat,18
minutes,8
star,7
friends,7
portion,8
