words,count
worth,7
enjoy,7
consistent,6
nthe,21
told,7
items,12
fantastic,8
highly,12
brought,6
recommend,25
warm,13
excellent,28
amazing,39
kebabs,6
las,21
bread,63
meat,11
reasonable,11
meal,18
bone,8
delicious,38
service,90
top,6
serve,8
flavorful,17
don,18
definitely,25
enjoyed,11
menu,18
rice,44
grilled,7
thanks,7
yogurt,14
hummus,20
beef,26
eastern,22
amount,6
people,22
super,14
dinner,11
happy,8
inside,6
attached,13
check,8
juices,7
kgb,6
time,36
vegas,66
baklava,7
die,10
quick,8
dip,17
eating,10
water,6
wait,16
usually,8
love,58
market,44
visit,10
reviews,8
awesome,16
spot,10
produce,6
thank,6
appetizers,9
hot,21
kabobs,22
lunch,10
half,7
didn,6
persian,80
looking,6
fast,7
little,15
white,7
friend,7
kabob,50
sam,8
dining,7
price,7
shop,6
ground,6
gem,7
husband,8
comes,14
attentive,9
sauce,11
middle,22
trip,6
week,6
flavor,13
zaytoons,6
ganoush,6
served,10
nice,35
business,13
favorite,18
lot,13
taste,12
tasty,18
cream,6
koobideh,27
wife,10
dish,10
tea,13
experience,13
family,49
flat,7
town,20
sandwich,9
tried,14
coming,23
authentic,18
soon,6
actually,8
food,213
found,16
owners,15
feel,18
wonderful,20
store,19
grocery,20
iranian,16
outstanding,7
juicy,9
juice,7
eaten,6
extremely,8
clean,11
pretty,10
restaurants,16
barg,7
tender,9
wow,8
probably,7
restaurant,72
eggplant,6
prices,13
look,6
cucumber,6
tables,10
bit,12
absolutely,7
run,6
homemade,10
saffron,7
cooked,9
fresh,63
friendly,54
try,38
mediterranean,40
spices,7
makes,7
baba,12
customer,16
salad,17
onions,8
lamb,17
tomato,8
perfect,15
hands,7
day,8
strip,7
variety,6
special,7
soltani,7
craving,6
times,11
owned,13
owner,12
quality,13
perfectly,10
stars,9
loved,12
zaytoon,42
dishes,13
masto,6
yum,6
atmosphere,12
selection,6
chicken,58
staff,23
wall,6
walk,7
table,7
seasoned,7
treat,7
home,19
own,6
buy,9
eat,27
wish,7
friends,6
yelp,10
