words,count
monte,9
sound,9
vegas,12
level,11
venue,19
carlo,9
drinks,11
stands,7
section,9
staff,6
arena,51
phone,14
beautiful,6
hot,6
las,6
late,6
food,21
front,8
didn,7
expect,6
york,8
wasn,7
top,6
park,7
stairs,8
steep,10
comfortable,6
don,10
mobile,9
definitely,6
event,9
fine,8
hockey,6
pretty,6
overall,6
bad,8
view,7
concert,13
seat,8
parking,15
walk,8
wouldn,6
pay,8
drink,7
floor,8
seats,34
easy,13
security,8
seating,8
people,26
stage,10
getting,8
strip,7
lot,7
line,10
inside,7
fries,6
nthe,10
nice,15
time,15
