words,count
nwe,17
asian,15
nthe,29
items,10
recommend,6
excellent,8
honey,10
cantonese,21
las,11
green,12
meat,10
reasonable,13
little,11
free,7
ate,6
isn,6
delicious,22
wasn,6
service,49
bitter,6
seated,6
ginger,7
don,19
sum,6
enjoyed,6
busy,11
menu,26
rice,25
plate,7
bad,8
noodles,17
seafood,26
kitchen,32
amazing,6
beef,17
basil,6
tank,6
hong,9
garlic,11
night,23
people,19
flounder,9
sizzling,9
dinner,21
deal,7
portions,11
time,30
melon,6
vegas,42
tanks,6
dim,6
pork,36
sign,7
water,15
wait,6
usually,12
love,17
reviews,8
soup,39
sour,10
remember,9
kong,9
hot,19
lunch,23
half,6
looking,7
waiter,7
white,8
friend,11
tasted,13
dining,7
price,9
especially,8
egg,11
salt,26
cheap,7
black,13
review,6
outside,8
pot,22
chinatown,13
pan,12
steamed,8
real,6
read,6
mom,6
served,9
nice,21
lobster,7
favorite,22
chow,10
clams,6
fast,16
lot,14
spicy,7
taste,8
deep,11
tasty,17
chinese,119
dish,37
tea,6
family,21
squid,14
town,8
salty,8
chops,15
menus,6
stir,6
tried,7
coming,7
authentic,33
style,13
late,13
sauce,36
food,117
house,10
fish,38
expect,7
specials,6
bass,12
eaten,6
clean,6
pretty,17
restaurants,13
sea,13
close,7
flavor,11
definitely,17
probably,10
restaurant,58
eggplant,6
sweet,7
crispy,19
prices,17
bill,6
fun,9
rio,8
cuisine,12
roasted,7
bit,13
een,6
spring,6
clay,10
beans,11
complimentary,6
tofu,25
servers,6
line,6
fried,66
cooked,7
fresh,9
friendly,9
dessert,8
try,16
duck,19
crab,9
shrimp,31
located,6
walnut,12
day,7
strip,6
red,8
times,10
quality,10
perfectly,9
stars,7
dishes,36
chicken,28
local,6
overall,8
bean,18
packed,7
etc,7
table,12
bbq,6
party,9
broccoli,7
didn,17
home,10
pepper,32
eat,13
minutes,7
friends,7
yelp,15
