words,count
friendly,16
vegas,30
try,8
bacon,13
burger,108
enjoyed,8
wait,6
casino,6
experience,6
highly,7
recommend,14
tell,6
beers,6
excellent,10
salad,7
awesome,16
amazing,24
las,7
egg,6
broadway,7
perfect,11
food,26
lunch,6
meat,12
delicious,20
dawn,6
looking,6
free,8
york,20
bite,6
waitress,6
cheese,25
veggie,7
service,26
top,7
wonderful,6
juicy,6
philly,9
don,7
definitely,14
southwestern,6
chicken,6
staff,8
menu,11
bar,9
steak,6
rings,8
sweet,7
turkey,6
beef,8
beer,8
prices,6
attentive,6
garlic,20
burgers,45
swiss,7
flavor,6
onion,8
server,8
super,6
cowboy,6
strip,7
happy,6
medium,8
gluten,6
bun,6
eat,14
fries,44
fried,10
tasty,9
nice,6
potato,6
cooked,10
time,18
fresh,7
