words,count
nwe,12
worth,9
nthe,21
botero,14
told,9
dry,6
recommend,7
excellent,7
rib,9
amazing,14
wrong,6
wine,12
bread,6
meat,15
bone,7
wasn,11
service,27
top,7
seated,7
don,12
menu,9
appetizer,6
steak,45
night,10
people,10
ice,7
dinner,16
medium,9
time,11
vegas,21
steaks,11
tartare,11
wait,7
awesome,7
mac,7
maybe,9
course,7
appetizers,11
lunch,9
half,9
didn,12
waiter,6
cheese,12
little,10
dining,8
price,11
average,10
wynn,8
review,6
bottle,8
flavor,9
server,10
tower,7
tots,6
stars,14
tasty,6
cream,8
pool,7
dish,7
steakhouse,6
scallops,9
experience,6
eye,7
beautiful,10
halibut,9
actually,6
sauce,13
food,35
drink,6
fine,9
pretty,13
restaurants,7
probably,9
meal,16
restaurant,32
expensive,6
prices,8
bill,6
decor,9
cut,6
bit,12
filet,12
fried,7
nice,16
reservation,6
cooked,14
outside,8
dessert,16
try,10
crab,10
strip,8
ambiance,8
special,7
perfectly,7
encore,9
table,13
rare,7
eat,10
minutes,7
